units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,NA,pollen,319,NA,Vascular plants,pollen,Viburnum undiff.,TRSH,1,1
NISP,NA,pollen,320,NA,Vascular plants,pollen,Vitis,TRSH,1692,44
NISP,NA,pollen,322,NA,Vascular plants,pollen,Xanthium,UPHE,44,12
NISP,NA,pollen,323,NA,Vascular plants,pollen,Zea mays,UPHE,134,20
NISP,NA,pollen,330,NA,Vascular plants,pollen,Alnus,TRSH,3167,26
NISP,NA,pollen,332,NA,Vascular plants,pollen,Viola,UPHE,15,6
NISP,NA,pollen,336,NA,Vascular plants,pollen,Lythrum,UPHE,186,22
NISP,NA,pollen,338,NA,Vascular plants,pollen,Acer,TRSH,2586,54
NISP,NA,pollen,341,NA,Vascular plants,pollen,Liliaceae,UPHE,165,21
NISP,NA,pollen,344,NA,Vascular plants,pollen,Alnus incana,TRSH,63,1
NISP,NA,pollen,345,NA,Vascular plants,pollen,Ambrosia,UPHE,76,12
NISP,NA,pollen,346,NA,Vascular plants,pollen,Fabaceae,UPHE,438,23
NISP,NA,pollen,349,NA,Vascular plants,pollen,Bidens,UPHE,3,1
NISP,NA,pollen,350,NA,Vascular plants,pollen,Ranunculaceae,UPHE,997,26
NISP,NA,pollen,351,NA,Vascular plants,pollen,Campanulaceae,UPHE,312,21
NISP,NA,pollen,353,NA,Vascular plants,pollen,Alnus viridis,TRSH,1399,29
NISP,NA,pollen,355,NA,Vascular plants,pollen,Rosaceae undiff.,UPHE,335,8
NISP,NA,pollen,361,NA,Vascular plants,pollen,Cornus,TRSH,16,5
NISP,NA,pollen,363,NA,Vascular plants,pollen,Juniperus-type,TRSH,728,9
NISP,NA,pollen,366,NA,Vascular plants,pollen,Ephedra,TRSH,183,9
NISP,NA,pollen,369,NA,Vascular plants,pollen,Fraxinus,TRSH,264,11
NISP,NA,pollen,372,NA,Vascular plants,pollen,Juglans,TRSH,963,48
NISP,NA,pollen,384,NA,Vascular plants,pollen,Ostrya-type,TRSH,1294,34
NISP,NA,pollen,385,NA,Vascular plants,pollen,Pinus,TRSH,3020,33
NISP,NA,pollen,388,NA,Vascular plants,pollen,Pistacia,TRSH,691,28
NISP,NA,pollen,389,NA,Vascular plants,pollen,Populus,TRSH,1066,36
NISP,NA,pollen,391,NA,Vascular plants,pollen,Amaranthaceae,UPHE,3491,33
NISP,NA,pollen,394,NA,Vascular plants,pollen,Caprifoliaceae,TRSH,1,1
NISP,NA,pollen,397,NA,Vascular plants,pollen,Viburnum,TRSH,315,28
NISP,NA,pollen,409,NA,Vascular plants,pollen,Asteraceae,UPHE,169,5
NISP,NA,pollen,414,NA,Vascular plants,pollen,Avena-type,UPHE,22,3
NISP,NA,pollen,416,NA,Vascular plants,pollen,Poaceae (Cerealia),UPHE,1289,33
NISP,NA,pollen,417,NA,Vascular plants,pollen,Poaceae,UPHE,5920,59
NISP,NA,pollen,418,NA,Vascular plants,pollen,Asteroideae,UPHE,1507,37
NISP,NA,pollen,420,NA,Vascular plants,pollen,Brassicaceae,UPHE,2857,54
NISP,NA,pollen,425,NA,Vascular plants,pollen,Humulus,UPHE,88,4
NISP,NA,pollen,426,NA,Vascular plants,pollen,Cannabis sativa,UPHE,424,10
NISP,NA,pollen,427,NA,Vascular plants,pollen,Poaceae (Cerealia) undiff.,UPHE,65,2
NISP,NA,pollen,430,NA,Vascular plants,pollen,Cyperaceae undiff.,UPHE,679,1
NISP,NA,pollen,448,NA,Vascular plants,pollen,Gentiana,UPHE,6,4
NISP,NA,pollen,452,NA,Vascular plants,pollen,Heliotropium,UPHE,1,1
NISP,NA,pollen,460,NA,Vascular plants,pollen,Lamiaceae,UPHE,489,33
NISP,NA,pollen,464,NA,Vascular plants,pollen,Urticaceae,UPHE,562,15
NISP,NA,pollen,475,NA,Vascular plants,pollen,Parietaria,UPHE,3,1
NISP,NA,pollen,476,NA,Vascular plants,pollen,Pedicularis,UPHE,8,4
NISP,NA,pollen,480,NA,Vascular plants,pollen,Plantago,UPHE,1603,27
NISP,NA,pollen,483,NA,Vascular plants,pollen,Rosaceae,UPHE,1763,47
NISP,NA,pollen,484,NA,Vascular plants,pollen,Primula,UPHE,16,5
NISP,NA,pollen,487,NA,Vascular plants,pollen,Saxifraga,UPHE,11,5
NISP,NA,pollen,488,NA,Vascular plants,pollen,Secale-type,UPHE,56,1
NISP,NA,pollen,491,NA,Vascular plants,pollen,Stachys-type,UPHE,52,11
NISP,NA,pollen,495,NA,Vascular plants,pollen,Trifolium pratense,UPHE,13,2
NISP,NA,pollen,496,NA,Vascular plants,pollen,Trifolium repens-type,UPHE,289,22
NISP,NA,pollen,497,NA,Vascular plants,pollen,Triticum-type,UPHE,63,5
NISP,NA,pollen,498,NA,Vascular plants,pollen,Urtica,UPHE,1321,34
NISP,NA,pollen,500,NA,Vascular plants,pollen,Verbena,UPHE,5,2
NISP,NA,pollen,513,NA,Vascular plants,pollen,Alisma,AQVP,66,10
NISP,NA,pollen,514,NA,Vascular plants,pollen,Hydrocotyle,AQVP,5,1
NISP,NA,pollen,515,NA,Vascular plants,pollen,Lemna,AQVP,27,6
NISP,NA,pollen,516,NA,Vascular plants,pollen,Stuckenia,AQVP,27,1
NISP,NA,pollen,517,NA,Vascular plants,pollen,Potamogeton,AQVP,805,25
NISP,NA,pollen,539,NA,Vascular plants,pollen,Lysimachia,UPHE,52,12
NISP,NA,pollen,540,NA,Vascular plants,pollen,Polygonum,UPHE,39,12
NISP,NA,pollen,541,NA,Vascular plants,pollen,Prunus/Sorbus,TRSH,45,1
NISP,NA,pollen,543,NA,Vascular plants,pollen,Solanaceae,UPHE,1,1
NISP,NA,pollen,549,NA,Vascular plants,pollen,Ranunculus,UPHE,418,6
NISP,NA,pollen,557,NA,Vascular plants,pollen,Allium-type,UPHE,195,20
NISP,NA,pollen,564,NA,Vascular plants,pollen,Andromeda polifolia,TRSH,203,1
NISP,NA,pollen,582,NA,Vascular plants,pollen,Butomus umbellatus,AQVP,34,2
NISP,NA,pollen,584,NA,Vascular plants,pollen,cf. Callitriche,AQVP,15,2
NISP,NA,pollen,585,NA,Vascular plants,pollen,Caltha-type,UPHE,161,21
NISP,NA,pollen,586,NA,Vascular plants,pollen,Campanula-type,UPHE,173,7
NISP,NA,pollen,592,NA,Vascular plants,pollen,Centaurea,UPHE,76,8
NISP,NA,pollen,598,NA,Vascular plants,pollen,Lonicera caerulea,TRSH,13,2
NISP,NA,pollen,635,NA,Vascular plants,pollen,Linnaea borealis,UPHE,1,1
NISP,NA,pollen,636,NA,Vascular plants,pollen,Linum,UPHE,38,12
NISP,NA,pollen,639,NA,Vascular plants,pollen,Kalmia procumbens,TRSH,22,3
NISP,NA,pollen,647,NA,Vascular plants,pollen,cf. Hypericum,UPHE,1,1
NISP,NA,pollen,655,NA,Vascular plants,pollen,Lythrum salicaria,UPHE,10,1
NISP,NA,pollen,656,NA,Vascular plants,pollen,Mentha-type,UPHE,709,35
NISP,NA,pollen,661,NA,Vascular plants,pollen,Monotropa,UPHE,1,1
NISP,NA,pollen,667,NA,Vascular plants,pollen,Myriophyllum alterniflorum,AQVP,91,7
NISP,NA,pollen,673,NA,Vascular plants,pollen,Nymphaeaceae,AQVP,23,2
NISP,NA,pollen,674,NA,Vascular plants,pollen,Oleaceae undiff.,TRSH,8,2
NISP,NA,pollen,682,NA,Vascular plants,pollen,Oxyria digyna-type,UPHE,3,1
NISP,NA,pollen,684,NA,Vascular plants,pollen,Papaveraceae,UPHE,30,7
NISP,NA,pollen,694,NA,Vascular plants,pollen,Euphorbiaceae,UPHE,40,8
NISP,NA,pollen,699,NA,Vascular plants,pollen,Plantago lanceolata-type,UPHE,1897,37
NISP,NA,pollen,702,NA,Vascular plants,pollen,Polygonaceae,UPHE,13,3
NISP,NA,pollen,703,NA,Vascular plants,pollen,Bistorta officinalis-type,UPHE,66,10
NISP,NA,pollen,705,NA,Vascular plants,pollen,Bistorta vivipara,UPHE,36,9
NISP,NA,pollen,714,NA,Vascular plants,pollen,Prunella-type,UPHE,18,4
NISP,NA,pollen,715,NA,Vascular plants,pollen,Prunus,TRSH,48,6
NISP,NA,pollen,733,NA,Vascular plants,pollen,Rubiaceae,TRSH,1690,39
NISP,NA,pollen,734,NA,Vascular plants,pollen,Rubus chamaemorus,TRSH,3,1
NISP,NA,pollen,735,NA,Vascular plants,pollen,Rumex-type,UPHE,997,15
NISP,NA,pollen,736,NA,Vascular plants,pollen,Rumex acetosa-type,UPHE,1475,24
NISP,NA,pollen,747,NA,Vascular plants,pollen,Saxifraga oppositifolia-type,UPHE,433,28
NISP,NA,pollen,748,NA,Vascular plants,pollen,Micranthes stellaris-type,UPHE,139,23
NISP,NA,pollen,751,NA,Vascular plants,pollen,Typha,AQVP,36,2
NISP,NA,pollen,752,NA,Vascular plants,pollen,Typha angustifolia,AQVP,551,7
NISP,NA,pollen,762,NA,Vascular plants,pollen,Trifolium-type,UPHE,150,17
NISP,NA,pollen,785,NA,Vascular plants,pollen,Rhamnus,TRSH,194,19
NISP,NA,pollen,794,NA,Vascular plants,pollen,Viburnum opulus,TRSH,6,2
NISP,NA,pollen,795,NA,Vascular plants,pollen,Viburnum opulus-type,TRSH,100,4
NISP,NA,pollen,798,NA,Vascular plants,pollen,Polemonium,UPHE,2,1
NISP,NA,pollen,804,NA,Vascular plants,pollen,Chenopodium-type,UPHE,49,1
NISP,NA,pollen,806,NA,Vascular plants,pollen,Humulus/Cannabis,UPHE,168,6
NISP,NA,pollen,808,NA,Vascular plants,pollen,Vicia-type,UPHE,101,25
NISP,NA,pollen,810,NA,Vascular plants,pollen,Potamogeton-type,AQVP,274,17
NISP,NA,pollen,813,NA,Vascular plants,pollen,Campanula,UPHE,372,20
NISP,NA,pollen,815,NA,Vascular plants,pollen,Ranunculus-type,UPHE,695,15
NISP,NA,pollen,819,NA,Vascular plants,pollen,Smilax,UPHE,3,1
NISP,NA,pollen,820,NA,Vascular plants,pollen,Achillea-type,UPHE,1163,28
NISP,NA,pollen,821,NA,Vascular plants,pollen,Circaea,UPHE,2,2
NISP,NA,pollen,825,NA,Vascular plants,pollen,Potentilla,UPHE,39,6
NISP,NA,pollen,838,NA,Vascular plants,pollen,Plantago major-type,UPHE,55,6
NISP,NA,pollen,842,NA,Vascular plants,pollen,Ononis-type,UPHE,60,11
NISP,NA,pollen,843,NA,Vascular plants,pollen,Rosa,TRSH,27,8
NISP,NA,pollen,848,NA,Vascular plants,pollen,Ericales,TRSH,53,1
NISP,NA,pollen,858,NA,Vascular plants,pollen,Ligustrum,TRSH,91,23
NISP,NA,pollen,879,NA,Vascular plants,pollen,cf. Ribes,TRSH,4,2
NISP,NA,pollen,883,NA,Vascular plants,pollen,Myrtaceae,TRSH,2,1
NISP,NA,pollen,884,NA,Vascular plants,pollen,Persicaria maculosa-type,UPHE,60,15
NISP,NA,pollen,886,NA,Vascular plants,pollen,Senecio,UPHE,130,12
NISP,NA,pollen,888,NA,Vascular plants,pollen,Persicaria amphibia-type,UPHE,3,2
NISP,NA,pollen,894,NA,Vascular plants,pollen,Ceratophyllum,AQVP,48,2
NISP,NA,pollen,902,NA,Vascular plants,pollen,cf. Sambucus,TRSH,4,2
NISP,NA,pollen,904,NA,Vascular plants,pollen,Rumex undiff.,UPHE,125,4
NISP,NA,pollen,908,NA,Vascular plants,pollen,Sparganium,AQVP,298,10
NISP,NA,pollen,909,NA,Vascular plants,pollen,Ericaceae undiff.,TRSH,34,3
NISP,NA,pollen,912,NA,Vascular plants,pollen,Saxifragaceae undiff.,UPHE,15,1
NISP,NA,pollen,936,NA,Vascular plants,pollen,Oxalis,UPHE,5,1
NISP,NA,pollen,940,NA,Vascular plants,pollen,Ilex-type,TRSH,9,2
NISP,NA,pollen,947,NA,Vascular plants,pollen,Polygonum aviculare,UPHE,148,21
NISP,NA,pollen,967,NA,Vascular plants,pollen,Secale,UPHE,541,32
NISP,NA,pollen,968,NA,Vascular plants,pollen,Triglochin,AQVP,2,1
NISP,NA,pollen,983,NA,Vascular plants,pollen,Juniperus,TRSH,2984,46
NISP,NA,pollen,988,NA,Vascular plants,pollen,Persicaria maculosa,UPHE,10,2
