"","units","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","samples","sites"
"55","NISP","DIAT","valve",10251,NA,"Diatoms","valve","Achnanthes lanceolata subsp. rostrata","DIAT",61,60
"56","NISP","DIAT","valve",10252,NA,"Diatoms","valve","Achnanthes montana","DIAT",108,108
"57","NISP","DIAT","valve",10253,NA,"Diatoms","valve","Achnanthes nitidiformis","DIAT",1,1
"58","NISP","DIAT","valve",10254,NA,"Diatoms","valve","Achnanthes oblongella","DIAT",2,2
"59","NISP","DIAT","valve",10255,NA,"Diatoms","valve","Achnanthes parvula","DIAT",1,1
"60","NISP","DIAT","valve",10256,NA,"Diatoms","valve","Achnanthes rosenstockii","DIAT",16,16
"61","NISP","DIAT","valve",10257,NA,"Diatoms","valve","Achnanthes rossii","DIAT",3,3
"62","NISP","DIAT","valve",10258,NA,"Diatoms","valve","Achnanthes trinodis","DIAT",35,35
"63","NISP","DIAT","valve",10260,NA,"Diatoms","valve","Achnanthes oestrupii","DIAT",4,4
"64","NISP","DIAT","valve",10261,NA,"Diatoms","valve","Achnanthes ventralis","DIAT",4,4
"65","NISP","DIAT","valve",10265,NA,"Diatoms","valve","Achnanthes laevis","DIAT",7,7
"66","NISP","DIAT","valve",10304,NA,"Diatoms","valve","Achnanthes lata","DIAT",14,13
"67","NISP","DIAT","valve",10306,NA,"Diatoms","valve","Achnanthes spp.","DIAT",5,5
"68","NISP","DIAT","valve",10317,NA,"Diatoms","valve","Actinella punctata","DIAT",13,10
"69","NISP","DIAT","valve",10319,NA,"Diatoms","valve","Amphipleura pellucida","DIAT",6,6
"70","NISP","DIAT","valve",10322,NA,"Diatoms","valve","Amphora ovalis","DIAT",48,40
"71","NISP","DIAT","valve",10324,NA,"Diatoms","valve","Amphora ovalis var. pediculus","DIAT",67,67
"72","NISP","DIAT","valve",10325,NA,"Diatoms","valve","Amphora perpusilla","DIAT",7,7
"73","NISP","DIAT","valve",10330,NA,"Diatoms","valve","Amphora coffeaeformis","DIAT",1,1
"74","NISP","DIAT","valve",10351,NA,"Diatoms","valve","Anomoeoneis follis","DIAT",9,8
"75","NISP","DIAT","valve",10352,NA,"Diatoms","valve","Anomoeoneis serians","DIAT",21,17
"76","NISP","DIAT","valve",10355,NA,"Diatoms","valve","Anomoeoneis styriaca","DIAT",6,5
"77","NISP","DIAT","valve",10356,NA,"Diatoms","valve","Anomoeoneis vitrea","DIAT",81,64
"78","NISP","DIAT","valve",10358,NA,"Diatoms","valve","Anomoeoneis sp. 3 PIRLA","DIAT",1,1
"79","NISP","DIAT","valve",10361,NA,"Diatoms","valve","Anomoeoneis zellensis","DIAT",111,111
"80","NISP","DIAT","valve",10367,NA,"Diatoms","valve","Anomoeoneis serians var. brachysira fo. thermalis","DIAT",57,50
"81","NISP","DIAT","valve",10373,NA,"Diatoms","valve","Anomoeoneis spp.","DIAT",65,65
"82","NISP","DIAT","valve",10376,NA,"Diatoms","valve","Asterionella formosa","DIAT",63,54
"83","NISP","DIAT","valve",10378,NA,"Diatoms","valve","Asterionella formosa var. gracillima","DIAT",101,101
"84","NISP","DIAT","valve",10380,NA,"Diatoms","valve","Asterionella ralfsii var. americana (>45 µm)","DIAT",34,30
"85","NISP","DIAT","valve",10381,NA,"Diatoms","valve","Asterionella ralfsii var. americana (<45 µm)","DIAT",6,6
"86","NISP","DIAT","valve",10386,NA,"Diatoms","valve","Aulacoseira canadensis","DIAT",6,6
"87","NISP","DIAT","valve",10389,NA,"Diatoms","valve","Aulacoseira ambigua","DIAT",63,60
"88","NISP","DIAT","valve",10405,NA,"Diatoms","valve","Caloneis ventricosa var. minuta","DIAT",27,27
"89","NISP","DIAT","valve",10407,NA,"Diatoms","valve","Caloneis ventricosa var. truncatula","DIAT",7,7
"90","NISP","DIAT","valve",10411,NA,"Diatoms","valve","Caloneis ventricosa","DIAT",21,21
"91","NISP","DIAT","valve",10414,NA,"Diatoms","valve","Caloneis bacillum var. fontinalis","DIAT",1,1
"92","NISP","DIAT","valve",10415,NA,"Diatoms","valve","Caloneis schumanniana var. biconstricta","DIAT",2,2
"93","NISP","DIAT","valve",10416,NA,"Diatoms","valve","Caloneis tenuis","DIAT",3,3
"94","NISP","DIAT","valve",10417,NA,"Diatoms","valve","Caloneis lewisii","DIAT",3,3
"95","NISP","DIAT","valve",10420,NA,"Diatoms","valve","Caloneis undulata","DIAT",10,8
"96","NISP","DIAT","valve",10436,NA,"Diatoms","valve","Caloneis spp.","DIAT",1,1
"97","NISP","DIAT","valve",10441,NA,"Diatoms","valve","Capartogramma crucicula","DIAT",2,2
"98","NISP","DIAT","valve",10448,NA,"Diatoms","valve","Cocconeis placentula","DIAT",47,39
"99","NISP","DIAT","valve",10452,NA,"Diatoms","valve","Cocconeis disculus","DIAT",2,2
"100","NISP","DIAT","valve",10465,NA,"Diatoms","valve","Coscinodiscus spp.","DIAT",64,64
"101","NISP","DIAT","valve",10476,NA,"Diatoms","valve","Cyclotella comta","DIAT",54,46
"102","NISP","DIAT","valve",10477,NA,"Diatoms","valve","Cyclotella kuetzingiana","DIAT",94,94
"103","NISP","DIAT","valve",10479,NA,"Diatoms","valve","Cyclotella meneghiniana","DIAT",10,10
"104","NISP","DIAT","valve",10481,NA,"Diatoms","valve","Cyclotella ocellata","DIAT",70,68
"105","NISP","DIAT","valve",10482,NA,"Diatoms","valve","Cyclotella stelligera","DIAT",80,67
"106","NISP","DIAT","valve",10487,NA,"Diatoms","valve","Cyclotella arentii","DIAT",1,1
"107","NISP","DIAT","valve",10489,NA,"Diatoms","valve","Cyclotella kuetzingiana var. planetophora","DIAT",3,3
"108","NISP","DIAT","valve",10490,NA,"Diatoms","valve","Cyclotella rossii","DIAT",13,13
"109","NISP","DIAT","valve",10492,NA,"Diatoms","valve","Cyclotella comensis","DIAT",5,4
"110","NISP","DIAT","valve",10515,NA,"Diatoms","valve","Cymatopleura solea","DIAT",128,128
"111","NISP","DIAT","valve",10520,NA,"Diatoms","valve","Cymbella amphicephala","DIAT",5,5
"112","NISP","DIAT","valve",10521,NA,"Diatoms","valve","Cymbella angustata","DIAT",1,1
"113","NISP","DIAT","valve",10523,NA,"Diatoms","valve","Cymbella cesatii","DIAT",17,13
"114","NISP","DIAT","valve",10524,NA,"Diatoms","valve","Cymbella cistula","DIAT",42,42
"115","NISP","DIAT","valve",10525,NA,"Diatoms","valve","Cymbella cuspidata","DIAT",54,50
"116","NISP","DIAT","valve",10527,NA,"Diatoms","valve","Cymbella hebridica","DIAT",29,24
"117","NISP","DIAT","valve",10528,NA,"Diatoms","valve","Cymbella lunata","DIAT",50,42
"118","NISP","DIAT","valve",10529,NA,"Diatoms","valve","Cymbella microcephala","DIAT",104,97
"119","NISP","DIAT","valve",10531,NA,"Diatoms","valve","Cymbella minuta","DIAT",102,97
"120","NISP","DIAT","valve",10532,NA,"Diatoms","valve","Cymbella minuta fo. latens","DIAT",67,67
"121","NISP","DIAT","valve",10534,NA,"Diatoms","valve","Cymbella minuta var. silesiaca","DIAT",34,31
"122","NISP","DIAT","valve",10539,NA,"Diatoms","valve","Cymbella sp. 1 PIRLA","DIAT",29,28
"123","NISP","DIAT","valve",10541,NA,"Diatoms","valve","Cymbella sp. 2 PIRLA","DIAT",17,17
"124","NISP","DIAT","valve",10543,NA,"Diatoms","valve","Cymbella cf. schubartii","DIAT",37,35
"125","NISP","DIAT","valve",10544,NA,"Diatoms","valve","Cymbella sp. 5 PIRLA","DIAT",4,4
"126","NISP","DIAT","valve",10545,NA,"Diatoms","valve","Cymbella cf. gaeumannii","DIAT",31,30
"127","NISP","DIAT","valve",10546,NA,"Diatoms","valve","Cymbella descripta","DIAT",35,33
"128","NISP","DIAT","valve",10547,NA,"Diatoms","valve","Cymbella muelleri","DIAT",31,31
"129","NISP","DIAT","valve",10548,NA,"Diatoms","valve","Cymbella amphioxys","DIAT",26,26
"130","NISP","DIAT","valve",10553,NA,"Diatoms","valve","Cymbella sp. 3 PIRLA","DIAT",5,4
"131","NISP","DIAT","valve",10555,NA,"Diatoms","valve","Cymbella hybrida var. 1 PIRLA","DIAT",3,3
"132","NISP","DIAT","valve",10559,NA,"Diatoms","valve","Cymbella cf. delicatula","DIAT",51,50
"133","NISP","DIAT","valve",10564,NA,"Diatoms","valve","Cymbella sinuata","DIAT",2,2
"134","NISP","DIAT","valve",10579,NA,"Diatoms","valve","Cymbella hauckii","DIAT",10,10
"135","NISP","DIAT","valve",10580,NA,"Diatoms","valve","Cymbella tumida","DIAT",4,4
"136","NISP","DIAT","valve",10581,NA,"Diatoms","valve","Cymbella amphicephala var. hercynica","DIAT",19,16
"137","NISP","DIAT","valve",10586,NA,"Diatoms","valve","Cymbella hybrida","DIAT",41,41
"138","NISP","DIAT","valve",10614,NA,"Diatoms","valve","Cymbella spp.","DIAT",6,5
"139","NISP","DIAT","valve",10630,NA,"Diatoms","valve","Diatoma anceps","DIAT",5,5
"140","NISP","DIAT","valve",10631,NA,"Diatoms","valve","Diatoma mesodon","DIAT",7,6
"141","NISP","DIAT","valve",10632,NA,"Diatoms","valve","Diatoma hyemalis","DIAT",5,5
"142","NISP","DIAT","valve",10633,NA,"Diatoms","valve","Diatoma vulgare","DIAT",12,12
"143","NISP","DIAT","valve",10637,NA,"Diatoms","valve","Diatoma tenuis","DIAT",8,7
"144","NISP","DIAT","valve",10644,NA,"Diatoms","valve","Diploneis finnica","DIAT",6,6
"145","NISP","DIAT","valve",10645,NA,"Diatoms","valve","Diploneis marginestriata","DIAT",20,18
"146","NISP","DIAT","valve",10646,NA,"Diatoms","valve","Diploneis oblongella","DIAT",35,35
"147","NISP","DIAT","valve",10651,NA,"Diatoms","valve","Diploneis ovalis","DIAT",17,16
"148","NISP","DIAT","valve",10653,NA,"Diatoms","valve","Diploneis boldtiana","DIAT",4,4
"149","NISP","DIAT","valve",10654,NA,"Diatoms","valve","Diploneis interrupta","DIAT",14,14
"150","NISP","DIAT","valve",10662,NA,"Diatoms","valve","Diploneis spp.","DIAT",26,26
"151","NISP","DIAT","valve",10668,NA,"Diatoms","valve","Entomoneis spp.","DIAT",5,5
"152","NISP","DIAT","valve",10674,NA,"Diatoms","valve","Epithemia argus","DIAT",16,16
"153","NISP","DIAT","valve",10675,NA,"Diatoms","valve","Epithemia sorex","DIAT",3,3
"154","NISP","DIAT","valve",10682,NA,"Diatoms","valve","Epithemia spp.","DIAT",9,7
"155","NISP","DIAT","valve",10684,NA,"Diatoms","valve","Eunotia arcus","DIAT",19,19
"156","NISP","DIAT","valve",10685,NA,"Diatoms","valve","Eunotia arcus var. bidens","DIAT",3,3
"157","NISP","DIAT","valve",10686,NA,"Diatoms","valve","Eunotia bactriana","DIAT",2,2
"158","NISP","DIAT","valve",10688,NA,"Diatoms","valve","Eunotia bigibba","DIAT",24,24
"159","NISP","DIAT","valve",10689,NA,"Diatoms","valve","Eunotia bigibba var. pumila","DIAT",4,4
"160","NISP","DIAT","valve",10690,NA,"Diatoms","valve","Eunotia carolina","DIAT",6,6
"161","NISP","DIAT","valve",10691,NA,"Diatoms","valve","Eunotia curvata","DIAT",80,73
"162","NISP","DIAT","valve",10693,NA,"Diatoms","valve","Eunotia curvata var. subarcuata","DIAT",61,61
"163","NISP","DIAT","valve",10695,NA,"Diatoms","valve","Eunotia diodon","DIAT",1,1
"164","NISP","DIAT","valve",10696,NA,"Diatoms","valve","Eunotia elegans","DIAT",17,16
"165","NISP","DIAT","valve",10697,NA,"Diatoms","valve","Eunotia exigua","DIAT",48,42
"166","NISP","DIAT","valve",10700,NA,"Diatoms","valve","Eunotia fallax","DIAT",51,51
"167","NISP","DIAT","valve",10701,NA,"Diatoms","valve","Eunotia flexuosa","DIAT",56,49
"168","NISP","DIAT","valve",10702,NA,"Diatoms","valve","Eunotia flexuosa var. eurycephala","DIAT",68,68
"169","NISP","DIAT","valve",10703,NA,"Diatoms","valve","Eunotia formica","DIAT",9,9
"170","NISP","DIAT","valve",10705,NA,"Diatoms","valve","Eunotia hemicyclus","DIAT",8,7
"171","NISP","DIAT","valve",10706,NA,"Diatoms","valve","Eunotia hexaglyphis","DIAT",23,20
"172","NISP","DIAT","valve",10707,NA,"Diatoms","valve","Eunotia iatriaensis","DIAT",18,17
"173","NISP","DIAT","valve",10708,NA,"Diatoms","valve","Eunotia incisa","DIAT",84,67
"174","NISP","DIAT","valve",10709,NA,"Diatoms","valve","Eunotia kocheliensis","DIAT",10,10
"175","NISP","DIAT","valve",10710,NA,"Diatoms","valve","Eunotia lapponica","DIAT",5,5
"176","NISP","DIAT","valve",10711,NA,"Diatoms","valve","Eunotia lunaris var. attenuata","DIAT",29,29
"177","NISP","DIAT","valve",10713,NA,"Diatoms","valve","Eunotia meisteri","DIAT",1,1
"178","NISP","DIAT","valve",10714,NA,"Diatoms","valve","Eunotia meisteri var. bidens","DIAT",2,2
"179","NISP","DIAT","valve",10715,NA,"Diatoms","valve","Eunotia microcephala","DIAT",6,6
"180","NISP","DIAT","valve",10716,NA,"Diatoms","valve","Eunotia microcephala var. tridentata","DIAT",1,1
"181","NISP","DIAT","valve",10717,NA,"Diatoms","valve","Eunotia monodon","DIAT",25,25
"182","NISP","DIAT","valve",10718,NA,"Diatoms","valve","Eunotia naegelii","DIAT",19,19
"183","NISP","DIAT","valve",10720,NA,"Diatoms","valve","Eunotia parallela","DIAT",2,2
"184","NISP","DIAT","valve",10721,NA,"Diatoms","valve","Eunotia pectinalis","DIAT",25,25
"185","NISP","DIAT","valve",10722,NA,"Diatoms","valve","Eunotia pectinalis var. minor","DIAT",18,18
"186","NISP","DIAT","valve",10724,NA,"Diatoms","valve","Eunotia pectinalis var. ventricosa","DIAT",46,46
"187","NISP","DIAT","valve",10727,NA,"Diatoms","valve","Eunotia praerupta","DIAT",14,14
"188","NISP","DIAT","valve",10733,NA,"Diatoms","valve","Eunotia rhomboidea","DIAT",29,29
"189","NISP","DIAT","valve",10736,NA,"Diatoms","valve","Eunotia serra","DIAT",5,5
"190","NISP","DIAT","valve",10737,NA,"Diatoms","valve","Eunotia serra var. diadema","DIAT",1,1
"191","NISP","DIAT","valve",10739,NA,"Diatoms","valve","Eunotia sp. 31 PIRLA","DIAT",2,2
"192","NISP","DIAT","valve",10741,NA,"Diatoms","valve","Eunotia sudetica","DIAT",1,1
"193","NISP","DIAT","valve",10742,NA,"Diatoms","valve","Eunotia tenella","DIAT",1,1
"194","NISP","DIAT","valve",10747,NA,"Diatoms","valve","Eunotia vanheurckii","DIAT",22,22
"195","NISP","DIAT","valve",10748,NA,"Diatoms","valve","Eunotia intermedia","DIAT",5,3
"196","NISP","DIAT","valve",10749,NA,"Diatoms","valve","Eunotia zasuminensis","DIAT",18,18
"197","NISP","DIAT","valve",10750,NA,"Diatoms","valve","Eunotia carolina var. 1 PIRLA","DIAT",23,20
"198","NISP","DIAT","valve",10767,NA,"Diatoms","valve","Eunotia sp. 2 PIRLA","DIAT",8,8
"199","NISP","DIAT","valve",10768,NA,"Diatoms","valve","Eunotia sp. 40 PIRLA","DIAT",2,2
"200","NISP","DIAT","valve",10777,NA,"Diatoms","valve","Eunotia incisa var. 4 PIRLA","DIAT",89,89
"201","NISP","DIAT","valve",10779,NA,"Diatoms","valve","Eunotia incisa var. 6 PIRLA","DIAT",1,1
"202","NISP","DIAT","valve",10784,NA,"Diatoms","valve","Eunotia sp. 1 PIRLA","DIAT",3,3
"203","NISP","DIAT","valve",10790,NA,"Diatoms","valve","Eunotia sp. 49 PIRLA","DIAT",1,1
"204","NISP","DIAT","valve",10794,NA,"Diatoms","valve","Eunotia bidentula var. 1 PIRLA","DIAT",21,19
"205","NISP","DIAT","valve",10803,NA,"Diatoms","valve","Eunotia sp. 35 PIRLA","DIAT",1,1
"206","NISP","DIAT","valve",10806,NA,"Diatoms","valve","Eunotia sp. 54 PIRLA","DIAT",1,1
"207","NISP","DIAT","valve",10832,NA,"Diatoms","valve","Eunotia zygodon","DIAT",1,1
"208","NISP","DIAT","valve",10843,NA,"Diatoms","valve","Eunotia implicata","DIAT",24,21
"209","NISP","DIAT","valve",10844,NA,"Diatoms","valve","Eunotia muscicola var. tridentula","DIAT",2,2
"210","NISP","DIAT","valve",10845,NA,"Diatoms","valve","Eunotia serra var. tetraodon","DIAT",2,2
"211","NISP","DIAT","valve",10847,NA,"Diatoms","valve","Eunotia vanheurckii var. intermedia","DIAT",3,3
"212","NISP","DIAT","valve",10866,NA,"Diatoms","valve","Eunotia spp.","DIAT",5,5
"213","NISP","DIAT","valve",10878,NA,"Diatoms","valve","Fragilaria brevistriata","DIAT",51,51
"214","NISP","DIAT","valve",10880,NA,"Diatoms","valve","Fragilaria brevistriata var. capitata","DIAT",13,13
"215","NISP","DIAT","valve",10881,NA,"Diatoms","valve","Fragilaria capucina","DIAT",3,3
"216","NISP","DIAT","valve",10882,NA,"Diatoms","valve","Fragilaria constricta","DIAT",12,12
"217","NISP","DIAT","valve",10883,NA,"Diatoms","valve","Fragilaria constricta fo. stricta","DIAT",8,8
"218","NISP","DIAT","valve",10885,NA,"Diatoms","valve","Fragilaria constricta var. trinodis","DIAT",1,1
"219","NISP","DIAT","valve",10886,NA,"Diatoms","valve","Fragilaria construens","DIAT",26,26
"220","NISP","DIAT","valve",10887,NA,"Diatoms","valve","Fragilaria construens var. binodis","DIAT",15,15
"221","NISP","DIAT","valve",10888,NA,"Diatoms","valve","Fragilaria construens var. pumila","DIAT",2,2
"222","NISP","DIAT","valve",10891,NA,"Diatoms","valve","Fragilaria crotonensis","DIAT",44,44
"223","NISP","DIAT","valve",10893,NA,"Diatoms","valve","Fragilaria hungarica var. tumida","DIAT",10,10
"224","NISP","DIAT","valve",10895,NA,"Diatoms","valve","Fragilaria lata","DIAT",2,2
"225","NISP","DIAT","valve",10896,NA,"Diatoms","valve","Fragilaria leptostauron","DIAT",1,1
"226","NISP","DIAT","valve",10900,NA,"Diatoms","valve","Fragilaria pinnata var. intercedens","DIAT",3,3
"227","NISP","DIAT","valve",10902,NA,"Diatoms","valve","Fragilaria polygonata","DIAT",2,2
"228","NISP","DIAT","valve",10903,NA,"Diatoms","valve","Fragilaria vaucheriae","DIAT",42,42
"229","NISP","DIAT","valve",10905,NA,"Diatoms","valve","Fragilaria virescens","DIAT",11,11
"230","NISP","DIAT","valve",10909,NA,"Diatoms","valve","Fragilaria acidobiontica","DIAT",2,2
"231","NISP","DIAT","valve",10910,NA,"Diatoms","valve","Fragilaria virescens var. exigua","DIAT",37,37
"232","NISP","DIAT","valve",10911,NA,"Diatoms","valve","Fragilaria pinnata var. acuminata","DIAT",38,38
"233","NISP","DIAT","valve",10915,NA,"Diatoms","valve","Fragilaria sp. 2 PIRLA","DIAT",10,10
"234","NISP","DIAT","valve",10916,NA,"Diatoms","valve","Fragilaria sp. 3 PIRLA","DIAT",4,4
"235","NISP","DIAT","valve",10917,NA,"Diatoms","valve","Fragilaria sp. 4 PIRLA","DIAT",1,1
"236","NISP","DIAT","valve",10921,NA,"Diatoms","valve","Fragilaria pinnata vars.","DIAT",57,57
"237","NISP","DIAT","valve",10923,NA,"Diatoms","valve","Fragilaria pinnata var. lancettula fo. subcapitata","DIAT",14,14
"238","NISP","DIAT","valve",10924,NA,"Diatoms","valve","Fragilaria capucina var. mesolepta","DIAT",2,2
"239","NISP","DIAT","valve",10940,NA,"Diatoms","valve","Fragilaria cf. construens var. venter","DIAT",5,5
"240","NISP","DIAT","valve",10950,NA,"Diatoms","valve","Fragilaria oldenburgiana","DIAT",13,13
"241","NISP","DIAT","valve",10979,NA,"Diatoms","valve","Frustulia rhomboides","DIAT",34,34
"242","NISP","DIAT","valve",10981,NA,"Diatoms","valve","Frustulia rhomboides var. capitata","DIAT",1,1
"243","NISP","DIAT","valve",10983,NA,"Diatoms","valve","Frustulia rhomboides var. saxonica","DIAT",39,39
"244","NISP","DIAT","valve",10985,NA,"Diatoms","valve","Frustulia pseudomagaliesmontana","DIAT",11,11
"245","NISP","DIAT","valve",11006,NA,"Diatoms","valve","Gomphonema acuminatum","DIAT",22,22
"246","NISP","DIAT","valve",11008,NA,"Diatoms","valve","Gomphonema angustatum","DIAT",45,45
"247","NISP","DIAT","valve",11012,NA,"Diatoms","valve","Gomphonema gracile","DIAT",20,20
"248","NISP","DIAT","valve",11015,NA,"Diatoms","valve","Gomphonema parvulum","DIAT",1,1
"249","NISP","DIAT","valve",11017,NA,"Diatoms","valve","Gomphonema subtile","DIAT",3,3
"250","NISP","DIAT","valve",11018,NA,"Diatoms","valve","Gomphonema tergestinum","DIAT",4,4
"251","NISP","DIAT","valve",11020,NA,"Diatoms","valve","Gomphonema truncatum var. turgidum","DIAT",5,5
"252","NISP","DIAT","valve",11021,NA,"Diatoms","valve","Gomphonema sp. 1 PIRLA","DIAT",2,2
"253","NISP","DIAT","valve",11022,NA,"Diatoms","valve","Gomphonema sp. 2 PIRLA","DIAT",2,2
"254","NISP","DIAT","valve",11027,NA,"Diatoms","valve","Gomphonema truncatum","DIAT",5,5
"255","NISP","DIAT","valve",11033,NA,"Diatoms","valve","Gomphonema intricatum","DIAT",2,2
"256","NISP","DIAT","valve",11053,NA,"Diatoms","valve","Gomphonema angustatum var. productum","DIAT",2,2
"257","NISP","DIAT","valve",11058,NA,"Diatoms","valve","Gomphonema productum","DIAT",1,1
"258","NISP","DIAT","valve",11060,NA,"Diatoms","valve","Gomphonema turris","DIAT",2,2
"259","NISP","DIAT","valve",11104,NA,"Diatoms","valve","Gomphonema spp.","DIAT",6,6
"260","NISP","DIAT","valve",11110,NA,"Diatoms","valve","Gyrosigma acuminatum","DIAT",8,8
"261","NISP","DIAT","valve",11114,NA,"Diatoms","valve","Gyrosigma attenuatum","DIAT",1,1
"262","NISP","DIAT","valve",11115,NA,"Diatoms","valve","Gyrosigma obscurum","DIAT",3,3
"263","NISP","DIAT","valve",11126,NA,"Diatoms","valve","Hannaea arcus","DIAT",2,2
"264","NISP","DIAT","valve",11137,NA,"Diatoms","valve","Krasskella kriegerana","DIAT",5,5
"265","NISP","DIAT","valve",11145,NA,"Diatoms","valve","Melosira ambigua","DIAT",55,55
"266","NISP","DIAT","valve",11149,NA,"Diatoms","valve","Melosira granulata","DIAT",6,6
