,units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,replacement,ecologicalgroup,samples,sites
99,NISP,NA,valve,10284,NA,Diatoms,valve,Achnanthes exigua var. elliptica,,DIAT,1,1
3810,present/absent,NA,valve,27979,NA,Diatoms,valve,Achnanthes exigua var. exigua,,DIAT,1,1
14,NISP,NA,valve,10164,NA,Diatoms,valve,Achnanthes exigua var. heterovalva,,DIAT,24,24
15,NISP,NA,valve,10165,NA,Diatoms,valve,Achnanthes flexella,,DIAT,293,86
40,NISP,NA,valve,10192,NA,Diatoms,valve,Achnanthes flexella var. alpestris,,DIAT,17,13
2612,NISP,NA,valve,28936,NA,Diatoms,valve,Achnanthes frigida,,DIAT,2,2
16,NISP,NA,valve,10166,NA,Diatoms,valve,Achnanthes gibberula,,DIAT,1,1
83,NISP,NA,valve,10249,NA,Diatoms,valve,Achnanthes gracillima,,DIAT,10,10
102,NISP,NA,valve,10293,NA,Diatoms,valve,Achnanthes grana,,DIAT,4,4
17,NISP,NA,valve,10167,NA,Diatoms,valve,Achnanthes hauckiana,,DIAT,3,3
9,NISP,NA,valve,10159,NA,Diatoms,valve,Achnanthes helvetica,Psammothidium helveticum,DIAT,565,115
105,NISP,NA,valve,10299,NA,Diatoms,valve,Achnanthes holsatica,,DIAT,3,2
53,NISP,NA,valve,10210,NA,Diatoms,valve,Achnanthes hungarica,,DIAT,1,1
18,NISP,NA,valve,10168,NA,Diatoms,valve,Achnanthes hustedtii,,DIAT,1,1
3649,percent,NA,valve,10168,NA,Diatoms,valve,Achnanthes hustedtii,,DIAT,1,1
48,NISP,NA,valve,10203,NA,Diatoms,valve,Achnanthes imperfecta,,DIAT,114,32
2607,NISP,NA,valve,28930,NA,Diatoms,valve,Achnanthes impexa,,DIAT,19,15
2176,NISP,NA,valve,24377,NA,Diatoms,valve,Achnanthes impexiformis,,DIAT,78,28
103,NISP,NA,valve,10294,NA,Diatoms,valve,Achnanthes ingratiformis,,DIAT,3,3
109,NISP,NA,valve,10305,NA,Diatoms,valve,Achnanthes joursacense,,DIAT,1,1
97,NISP,NA,valve,10281,NA,Diatoms,valve,Achnanthes kriegeri,,DIAT,2,2
19,NISP,NA,valve,10169,NA,Diatoms,valve,Achnanthes kryophila,,DIAT,81,17
2208,NISP,NA,valve,24738,NA,Diatoms,valve,Achnanthes lacus-vulcani,,DIAT,212,19
93,NISP,NA,valve,10265,NA,Diatoms,valve,Achnanthes laevis,,DIAT,32,27
20,NISP,NA,valve,10170,NA,Diatoms,valve,Achnanthes lanceolata,,DIAT,310,138
3650,percent,NA,valve,10170,NA,Diatoms,valve,Achnanthes lanceolata,,DIAT,27,27
56,NISP,NA,valve,10217,NA,Diatoms,valve,Achnanthes lanceolata fo. capitata,,DIAT,2,2
104,NISP,NA,valve,10295,NA,Diatoms,valve,Achnanthes lanceolata subsp. frequentissima,,DIAT,3,3
2530,NISP,NA,valve,28013,NA,Diatoms,valve,Achnanthes lanceolata subsp. lanceolatoides/A. lanceolata aff. subsp. lanceolato,,DIAT,2,2
85,NISP,NA,valve,10251,NA,Diatoms,valve,Achnanthes lanceolata subsp. rostrata,,DIAT,5,4
21,NISP,NA,valve,10171,NA,Diatoms,valve,Achnanthes lanceolata var. dubia,,DIAT,30,28
84,NISP,NA,valve,10250,NA,Diatoms,valve,Achnanthes lanceolata var. elliptica,,DIAT,4,4
2215,NISP,NA,valve,24763,NA,Diatoms,valve,Achnanthes lanceolata var. frequentissima,,DIAT,1,1
22,NISP,NA,valve,10172,NA,Diatoms,valve,Achnanthes lanceolata var. haynaldii,,DIAT,2,2
23,NISP,NA,valve,10173,NA,Diatoms,valve,Achnanthes lanceolata var. omissa,,DIAT,1,1
79,NISP,NA,valve,10242,NA,Diatoms,valve,Achnanthes lapidosa var. appalachiana,,DIAT,2,1
24,NISP,NA,valve,10175,NA,Diatoms,valve,Achnanthes lapidosa var. lanceolata,,DIAT,1,1
57,NISP,NA,valve,10218,NA,Diatoms,valve,Achnanthes lapponica,,DIAT,6,6
3654,percent,NA,valve,10218,NA,Diatoms,valve,Achnanthes lapponica,,DIAT,1,1
39,NISP,NA,valve,10191,NA,Diatoms,valve,Achnanthes lapponica var. 1 PIRLA,,DIAT,173,38
47,NISP,NA,valve,10200,NA,Diatoms,valve,Achnanthes laterostrata,,DIAT,159,52
2588,NISP,NA,valve,28598,NA,Diatoms,valve,Achnanthes lemmermannii,,DIAT,1,1
26,NISP,NA,valve,10177,NA,Diatoms,valve,Achnanthes levanderi,Psammothidium levanderi,DIAT,496,140
27,NISP,NA,valve,10178,NA,Diatoms,valve,Achnanthes levanderi var. helvetica,,DIAT,60,30
80,NISP,NA,valve,10245,NA,Diatoms,valve,Achnanthes lewisiana,,DIAT,26,5
28,NISP,NA,valve,10179,NA,Diatoms,valve,Achnanthes linearis,,DIAT,705,153
3651,percent,NA,valve,10179,NA,Diatoms,valve,Achnanthes linearis,,DIAT,4,4
29,NISP,NA,valve,10180,NA,Diatoms,valve,Achnanthes linearis fo. curta,,DIAT,107,33
2627,NISP,NA,valve,29730,NA,Diatoms,valve,Achnanthes linearis var. pusilla,,DIAT,107,20
31,NISP,NA,valve,10182,NA,Diatoms,valve,Achnanthes lutheri,,DIAT,92,13
32,NISP,NA,valve,10183,NA,Diatoms,valve,Achnanthes marginulata,Psammothidium marginulatum,DIAT,774,212
33,NISP,NA,valve,10184,NA,Diatoms,valve,Achnanthes microcephala,,DIAT,162,55
3652,percent,NA,valve,10184,NA,Diatoms,valve,Achnanthes microcephala,,DIAT,1,1
2002,NISP,NA,valve,13006,NA,Diatoms,valve,Achnanthes minuscula,,DIAT,2,2
3788,percent,NA,valve,25004,NA,Diatoms,valve,Achnanthes minuta,,DIAT,28,28
2251,NISP,NA,valve,25004,NA,Diatoms,valve,Achnanthes minuta,,DIAT,2,2
34,NISP,NA,valve,10185,NA,Diatoms,valve,Achnanthes minutissima,Achnanthidium minutissimum,DIAT,1076,290
3653,percent,NA,valve,10185,NA,Diatoms,valve,Achnanthes minutissima,Achnanthidium minutissimum,DIAT,2,2
86,NISP,NA,valve,10253,NA,Diatoms,valve,Achnanthes nitidiformis,,DIAT,14,12
35,NISP,NA,valve,10187,NA,Diatoms,valve,Achnanthes nodosa,,DIAT,8,8
2632,NISP,NA,valve,29784,NA,Diatoms,valve,Achnanthes obliqua MARR,,DIAT,5,3
87,NISP,NA,valve,10254,NA,Diatoms,valve,Achnanthes oblongella,,DIAT,13,13
91,NISP,NA,valve,10260,NA,Diatoms,valve,Achnanthes oestrupii,,DIAT,2,2
51,NISP,NA,valve,10206,NA,Diatoms,valve,Achnanthes oestrupii var. lanceolata,,DIAT,1,1
36,NISP,NA,valve,10188,NA,Diatoms,valve,Achnanthes peragalli,,DIAT,69,25
46,NISP,NA,valve,10199,NA,Diatoms,valve,Achnanthes peragalli var. fossilis,,DIAT,1,1
100,NISP,NA,valve,10285,NA,Diatoms,valve,Achnanthes petersenii,,DIAT,66,20
37,NISP,NA,valve,10189,NA,Diatoms,valve,Achnanthes pinnata,,DIAT,5,5
2158,NISP,NA,valve,14157,NA,Diatoms,valve,Achnanthes ploenensis,,DIAT,3,3
30,NISP,NA,valve,10181,NA,Diatoms,valve,Achnanthes pusilla,,DIAT,61,55
2412,NISP,NA,valve,27001,NA,Diatoms,valve,Achnanthes reimeri,,DIAT,13,12
106,NISP,NA,valve,10300,NA,Diatoms,valve,Achnanthes ricula,,DIAT,2,2
88,NISP,NA,valve,10256,NA,Diatoms,valve,Achnanthes rosenstockii,Psammothidium rosenstockii,DIAT,3,3
89,NISP,NA,valve,10257,NA,Diatoms,valve,Achnanthes rossii,Psammothidium rossii,DIAT,15,11
3026,NISP,NA,valve,36684,NA,Diatoms,valve,Achnanthes rostellata,,DIAT,7,7
2325,NISP,NA,valve,25168,NA,Diatoms,valve,Achnanthes rupestoides,,DIAT,1,1
2270,NISP,NA,valve,25063,NA,Diatoms,valve,Achnanthes rupestris,,DIAT,2,2
2200,NISP,NA,valve,24691,NA,Diatoms,valve,Achnanthes saccula,,DIAT,1,1
2628,NISP,NA,valve,29731,NA,Diatoms,valve,Achnanthes saxonica,,DIAT,29,11
2360,NISP,NA,valve,25351,NA,Diatoms,valve,Achnanthes semiaperta,,DIAT,10,1
119,NISP,NA,valve,10315,NA,Diatoms,valve,Achnanthes solida,,DIAT,1,1
2697,NISP,NA,valve,30311,NA,Diatoms,valve,Achnanthes sp.,,DIAT,11,1
111,NISP,NA,valve,10307,NA,Diatoms,valve,Achnanthes sp. 1 ?,,DIAT,109,67
3548,NISP,NA,valve,45644,NA,Diatoms,valve,Achnanthes sp. 1 ANS NAWQA EAM,,DIAT,1,1
3549,NISP,NA,valve,45645,NA,Diatoms,valve,Achnanthes sp. 1 NLA DB,,DIAT,1,1
3003,NISP,NA,valve,36429,NA,Diatoms,valve,Achnanthes sp. 1 NLS EAM,,DIAT,3,3
3550,NISP,NA,valve,45646,NA,Diatoms,valve,Achnanthes sp. 11 NLA DB,,DIAT,1,1
58,NISP,NA,valve,10219,NA,Diatoms,valve,Achnanthes sp. 11 PIRLA,,DIAT,31,31
59,NISP,NA,valve,10220,NA,Diatoms,valve,Achnanthes sp. 12 PIRLA,,DIAT,6,6
60,NISP,NA,valve,10221,NA,Diatoms,valve,Achnanthes sp. 13 PIRLA,,DIAT,12,12
61,NISP,NA,valve,10222,NA,Diatoms,valve,Achnanthes sp. 14 PIRLA,,DIAT,2,2
62,NISP,NA,valve,10223,NA,Diatoms,valve,Achnanthes sp. 15 PIRLA,,DIAT,1,1
3551,NISP,NA,valve,45647,NA,Diatoms,valve,Achnanthes sp. 16 NLA DB,,DIAT,1,1
63,NISP,NA,valve,10224,NA,Diatoms,valve,Achnanthes sp. 16 PIRLA,,DIAT,5,5
2841,NISP,NA,valve,36030,NA,Diatoms,valve,Achnanthes sp. 17 NLA DB,,DIAT,1,1
64,NISP,NA,valve,10225,NA,Diatoms,valve,Achnanthes sp. 17 PIRLA,,DIAT,6,6
65,NISP,NA,valve,10226,NA,Diatoms,valve,Achnanthes sp. 18 PIRLA,,DIAT,1,1
66,NISP,NA,valve,10227,NA,Diatoms,valve,Achnanthes sp. 19 PIRLA,,DIAT,16,16
112,NISP,NA,valve,10308,NA,Diatoms,valve,Achnanthes sp. 2 ?,,DIAT,46,31
67,NISP,NA,valve,10228,NA,Diatoms,valve,Achnanthes sp. 20 PIRLA,,DIAT,2,2
3004,NISP,NA,valve,36430,NA,Diatoms,valve,Achnanthes sp. 21 NLA EWT,,DIAT,1,1
68,NISP,NA,valve,10229,NA,Diatoms,valve,Achnanthes sp. 21 PIRLA,,DIAT,1,1
69,NISP,NA,valve,10230,NA,Diatoms,valve,Achnanthes sp. 22 PIRLA,,DIAT,1,1
70,NISP,NA,valve,10231,NA,Diatoms,valve,Achnanthes sp. 23 PIRLA,,DIAT,1,1
71,NISP,NA,valve,10232,NA,Diatoms,valve,Achnanthes sp. 24 PIRLA,,DIAT,2,2
72,NISP,NA,valve,10233,NA,Diatoms,valve,Achnanthes sp. 25 PIRLA,,DIAT,3,3
2951,NISP,NA,valve,36346,NA,Diatoms,valve,Achnanthes sp. 26 NLA DB,,DIAT,1,1
73,NISP,NA,valve,10234,NA,Diatoms,valve,Achnanthes sp. 26 PIRLA,,DIAT,2,2
74,NISP,NA,valve,10235,NA,Diatoms,valve,Achnanthes sp. 27 PIRLA,,DIAT,1,1
75,NISP,NA,valve,10236,NA,Diatoms,valve,Achnanthes sp. 28 PIRLA,,DIAT,1,1
76,NISP,NA,valve,10237,NA,Diatoms,valve,Achnanthes sp. 29 PIRLA,,DIAT,2,2
113,NISP,NA,valve,10309,NA,Diatoms,valve,Achnanthes sp. 3 ?,,DIAT,18,15
3507,NISP,NA,valve,45598,NA,Diatoms,valve,Achnanthes sp. 31 NLA DB,,DIAT,1,1
77,NISP,NA,valve,10238,NA,Diatoms,valve,Achnanthes sp. 31 PIRLA,,DIAT,1,1
78,NISP,NA,valve,10239,NA,Diatoms,valve,Achnanthes sp. 32 PIRLA,,DIAT,2,2
114,NISP,NA,valve,10310,NA,Diatoms,valve,Achnanthes sp. 4 ?,,DIAT,11,10
115,NISP,NA,valve,10311,NA,Diatoms,valve,Achnanthes sp. 5 ?,,DIAT,9,8
44,NISP,NA,valve,10197,NA,Diatoms,valve,Achnanthes sp. 5 PIRLA,,DIAT,99,11
116,NISP,NA,valve,10312,NA,Diatoms,valve,Achnanthes sp. 6 ?,,DIAT,7,6
25,NISP,NA,valve,10176,NA,Diatoms,valve,Achnanthes sp. 6 PIRLA,,DIAT,7,7
117,NISP,NA,valve,10313,NA,Diatoms,valve,Achnanthes sp. 7 ?,,DIAT,5,4
2919,NISP,NA,valve,36261,NA,Diatoms,valve,Achnanthes sp. 7 NLA DB,,DIAT,1,1
52,NISP,NA,valve,10209,NA,Diatoms,valve,Achnanthes sp. 7 PIRLA,,DIAT,4,4
118,NISP,NA,valve,10314,NA,Diatoms,valve,Achnanthes sp. 8 ?,,DIAT,3,3
49,NISP,NA,valve,10204,NA,Diatoms,valve,Achnanthes sp. 8 PIRLA,,DIAT,12,12
120,NISP,NA,valve,10316,NA,Diatoms,valve,Achnanthes sp. 9 ?,,DIAT,2,2
110,NISP,NA,valve,10306,NA,Diatoms,valve,Achnanthes spp.,,DIAT,294,126
45,NISP,NA,valve,10198,NA,Diatoms,valve,Achnanthes stewartii,,DIAT,15,11
96,NISP,NA,valve,10277,NA,Diatoms,valve,Achnanthes stolida,,DIAT,5,5
101,NISP,NA,valve,10286,NA,Diatoms,valve,Achnanthes subatomoides,Psammothidium subatomoides,DIAT,78,54
94,NISP,NA,valve,10270,NA,Diatoms,valve,Achnanthes subhudsonis var. kraeuselii,,DIAT,13,12
2636,NISP,NA,valve,29804,NA,Diatoms,valve,Achnanthes sublaevis,,DIAT,6,3
2754,NISP,NA,valve,31086,NA,Diatoms,valve,Achnanthes sublaevis var. crassa,,DIAT,1,1
2177,NISP,NA,valve,24378,NA,Diatoms,valve,Achnanthes subsalsa,,DIAT,1,1
38,NISP,NA,valve,10190,NA,Diatoms,valve,Achnanthes suchlandtii,,DIAT,279,88
90,NISP,NA,valve,10258,NA,Diatoms,valve,Achnanthes trinodis,,DIAT,8,7
2650,NISP,NA,valve,29871,NA,Diatoms,valve,Achnanthes umara,,DIAT,10,10
92,NISP,NA,valve,10261,NA,Diatoms,valve,Achnanthes ventralis,,DIAT,23,21
95,NISP,NA,valve,10273,NA,Diatoms,valve,Achnanthes wellsiae,,DIAT,4,3
98,NISP,NA,valve,10283,NA,Diatoms,valve,Achnanthes ziegleri,,DIAT,5,5
4,NISP,NA,valve,10153,NA,Diatoms,valve,Achnanthidium affine,,DIAT,7,7
5,NISP,NA,valve,10154,NA,Diatoms,valve,Achnanthidium altergracillima,,DIAT,18,18
1983,NISP,NA,valve,12940,NA,Diatoms,valve,Achnanthidium atomus,,DIAT,5,5
2033,NISP,NA,valve,13078,NA,Diatoms,valve,Achnanthidium caledonicum,,DIAT,77,76
1861,NISP,NA,valve,12756,NA,Diatoms,valve,Achnanthidium catenatum,,DIAT,24,24
2842,NISP,NA,valve,36031,NA,Diatoms,valve,Achnanthidium cf. deflexum NLA DB,,DIAT,1,1
2945,NISP,NA,valve,36324,NA,Diatoms,valve,Achnanthidium cf. gracillimum,,DIAT,9,9
2843,NISP,NA,valve,36032,NA,Diatoms,valve,Achnanthidium cf. minutissimum NLA DB,,DIAT,3,3
3025,NISP,NA,valve,36683,NA,Diatoms,valve,Achnanthidium crassum,,DIAT,10,10
2007,NISP,NA,valve,13030,NA,Diatoms,valve,Achnanthidium deflexum,,DIAT,48,43
3027,NISP,NA,valve,36685,NA,Diatoms,valve,Achnanthidium delmontii,,DIAT,10,10
2769,NISP,NA,valve,34549,NA,Diatoms,valve,Achnanthidium druartii,,DIAT,2,2
2088,NISP,NA,valve,13186,NA,Diatoms,valve,Achnanthidium duthii,,DIAT,5,5
2054,NISP,NA,valve,13107,NA,Diatoms,valve,Achnanthidium eutrophilum,,DIAT,10,10
1857,NISP,NA,valve,12749,NA,Diatoms,valve,Achnanthidium exiguum,,DIAT,233,216
3522,NISP,NA,valve,45613,NA,Diatoms,valve,Achnanthidium exiguum var. 1 NLS PJG,,DIAT,1,1
1858,NISP,NA,valve,12750,NA,Diatoms,valve,Achnanthidium exiguum var. constrictum,,DIAT,1,1
2831,NISP,NA,valve,36003,NA,Diatoms,valve,Achnanthidium exiguum var. elliptica,,DIAT,2,2
1859,NISP,NA,valve,12751,NA,Diatoms,valve,Achnanthidium exiguum var. heterovalvum,,DIAT,1,1
2,NISP,NA,valve,10150,NA,Diatoms,valve,Achnanthidium exilis,,DIAT,28,28
3481,NISP,NA,valve,41224,NA,Diatoms,valve,Achnanthidium gracillimum,,DIAT,42,40
2084,NISP,NA,valve,13175,NA,Diatoms,valve,Achnanthidium jackii,,DIAT,31,31
3579,NISP,NA,valve,45742,NA,Diatoms,valve,Achnanthidium lapidosum,,DIAT,1,1
1969,NISP,NA,valve,12911,NA,Diatoms,valve,Achnanthidium latecephalum,,DIAT,15,15
6,NISP,NA,valve,10155,NA,Diatoms,valve,Achnanthidium macrocephalum,,DIAT,1,1
3,NISP,NA,valve,10152,NA,Diatoms,valve,Achnanthidium minutissimum,,DIAT,839,672
3466,NISP,NA,valve,41203,NA,Diatoms,valve,"Achnanthidium minutissimum ""capitate form"" NE Lakes",,DIAT,4,4
2419,NISP,NA,valve,27008,NA,Diatoms,valve,Achnanthidium minutissimum capitate morph,,DIAT,88,86
2808,NISP,NA,valve,35878,NA,Diatoms,valve,Achnanthidium minutissimum var. 1 NLS GDL,,DIAT,1,1
2456,NISP,NA,valve,27159,NA,Diatoms,valve,Achnanthidium minutissimum var. gracillima,,DIAT,1,1
1856,NISP,NA,valve,12748,NA,Diatoms,valve,Achnanthidium pyrenaicum,,DIAT,6,6
2075,NISP,NA,valve,13142,NA,Diatoms,valve,Achnanthidium reimeri,,DIAT,15,15
1980,NISP,NA,valve,12937,NA,Diatoms,valve,Achnanthidium rivulare,,DIAT,70,65
2428,NISP,NA,valve,27055,NA,Diatoms,valve,Achnanthidium rosenstockii,,DIAT,16,13
7,NISP,NA,valve,10156,NA,Diatoms,valve,Achnanthidium saprophilum,,DIAT,2,2
3028,NISP,NA,valve,36686,NA,Diatoms,valve,Achnanthidium sp. 1 NE Lakes,,DIAT,13,13
3029,NISP,NA,valve,36687,NA,Diatoms,valve,Achnanthidium sp. 2 NE Lakes,,DIAT,5,5
3525,NISP,NA,valve,45617,NA,Diatoms,valve,Achnanthidium sp. 5 cf. strictum NLS PJG,,DIAT,2,2
3030,NISP,NA,valve,36688,NA,Diatoms,valve,Achnanthidium sp. 5 NE Lakes,,DIAT,1,1
2592,NISP,NA,valve,28693,NA,Diatoms,valve,Achnanthidium spp.,,DIAT,47,45
121,NISP,NA,valve,10317,NA,Diatoms,valve,Actinella punctata,,DIAT,417,178
2392,NISP,NA,valve,26978,NA,Diatoms,valve,Actinocyclus cf. normanii NJSS DME,,DIAT,1,1
1668,NISP,NA,valve,12415,NA,Diatoms,valve,Actinocyclus normanii,,DIAT,6,6
122,NISP,NA,valve,10318,NA,Diatoms,valve,Actinoptychus senarius,,DIAT,1,1
1862,NISP,NA,valve,12757,NA,Diatoms,valve,Adlafia bryophila,,DIAT,130,70
1863,NISP,NA,valve,12758,NA,Diatoms,valve,Adlafia minuscula,,DIAT,16,16
1864,NISP,NA,valve,12759,NA,Diatoms,valve,Adlafia minuscula var. muralis,,DIAT,54,42
1991,NISP,NA,valve,12955,NA,Diatoms,valve,Adlafia multnomahii,,DIAT,5,5
3031,NISP,NA,valve,36689,NA,Diatoms,valve,Adlafia sp. 1 NE Lakes,,DIAT,1,1
3032,NISP,NA,valve,36690,NA,Diatoms,valve,Adlafia sp. 2 NE Lakes,,DIAT,1,1
3033,NISP,NA,valve,36691,NA,Diatoms,valve,Adlafia sp. 3 NE Lakes,,DIAT,8,8
1865,NISP,NA,valve,12760,NA,Diatoms,valve,Adlafia suchlandtii,,DIAT,4,4
3636,mg/L,NA,lab,25196,NA,Aquatic parameters,lab,Alkalinity,,WCHM,2,2
3642,mg/L,NA,NA,25196,NA,Aquatic parameters,NA,Alkalinity,,WCHM,1,1
3812,umol/L,NA,lab,35088,NA,Water chemistry,lab,Aluminium monomeric,,WCHM,1,1
3821,µg/L,NA,lab,35660,NA,Water chemistry,lab,Aluminium Total,,WCHM,2,2
3813,umol/L,NA,lab,35661,NA,Water chemistry,lab,Aluminum Organic Complex,,WCHM,1,1
3828,μg/L,NA,NA,27425,NA,Water chemistry,NA,Ammonia,,WCHM,1,1
3641,mg/L,NA,lab,30911,NA,Water chemistry,lab,Ammonium as N,,WCHM,1,1
2723,NISP,NA,valve,30895,NA,Diatoms,valve,Amphicampa hemicyclus,,DIAT,6,6
2356,NISP,NA,valve,25320,NA,Diatoms,valve,Amphipleura cf. kriegeriana,,DIAT,1,1
2217,NISP,NA,valve,24770,NA,Diatoms,valve,Amphipleura kriegeriana,,DIAT,30,28
123,NISP,NA,valve,10319,NA,Diatoms,valve,Amphipleura pellucida,,DIAT,115,84
3656,percent,NA,valve,10319,NA,Diatoms,valve,Amphipleura pellucida,,DIAT,6,6
124,NISP,NA,valve,10320,NA,Diatoms,valve,Amphipleura rutilans,,DIAT,5,5
2252,NISP,NA,valve,25005,NA,Diatoms,valve,Amphiprora ornata,,DIAT,9,9
133,NISP,NA,valve,10332,NA,Diatoms,valve,Amphora acutiuscula,,DIAT,5,5
141,NISP,NA,valve,10346,NA,Diatoms,valve,Amphora aequalis,,DIAT,48,47
2952,NISP,NA,valve,36349,NA,Diatoms,valve,Amphora cf. libyca NLA BSL,,DIAT,1,1
135,NISP,NA,valve,10339,NA,Diatoms,valve,Amphora cf. micrometra FRITZ,,DIAT,1,1
2920,NISP,NA,valve,36263,NA,Diatoms,valve,Amphora cf. ovalis NLA DB,,DIAT,1,1
2809,NISP,NA,valve,35879,NA,Diatoms,valve,Amphora cf. sp. 1 ANS WRC,,DIAT,1,1
131,NISP,NA,valve,10330,NA,Diatoms,valve,Amphora coffeaeformis,,DIAT,24,24
2004,NISP,NA,valve,13017,NA,Diatoms,valve,Amphora commutata,,DIAT,1,1
1860,NISP,NA,valve,12755,NA,Diatoms,valve,Amphora copulata,,DIAT,342,326
2517,NISP,NA,valve,27990,NA,Diatoms,valve,Amphora copulata morph B,,DIAT,4,4
2105,NISP,NA,valve,13222,NA,Diatoms,valve,Amphora eximia,,DIAT,5,5
140,NISP,NA,valve,10344,NA,Diatoms,valve,Amphora fogediana,,DIAT,3,3
2271,NISP,NA,valve,25065,NA,Diatoms,valve,Amphora holsatica,,DIAT,22,22
3805,present/absent,NA,valve,25065,NA,Diatoms,valve,Amphora holsatica,,DIAT,1,1
132,NISP,NA,valve,10331,NA,Diatoms,valve,Amphora inariensis,,DIAT,101,98
3796,present/absent,NA,valve,10331,NA,Diatoms,valve,Amphora inariensis,,DIAT,1,1
2559,NISP,NA,valve,28128,NA,Diatoms,valve,Amphora inariensis/A. pediculus,,DIAT,19,19
134,NISP,NA,valve,10337,NA,Diatoms,valve,Amphora libyca,,DIAT,61,57
137,NISP,NA,valve,10341,NA,Diatoms,valve,Amphora montana,,DIAT,14,14
2308,NISP,NA,valve,25123,NA,Diatoms,valve,Amphora neglecta,,DIAT,3,3
125,NISP,NA,valve,10322,NA,Diatoms,valve,Amphora ovalis,,DIAT,417,300
3657,percent,NA,valve,10322,NA,Diatoms,valve,Amphora ovalis,,DIAT,14,14
126,NISP,NA,valve,10323,NA,Diatoms,valve,Amphora ovalis var. affinis,,DIAT,77,74
127,NISP,NA,valve,10324,NA,Diatoms,valve,Amphora ovalis var. pediculus,,DIAT,24,24
