units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,NA,pollen,186,NA,Vascular plants,pollen,Morus,TRSH,6,2
NISP,NA,pollen,188,NA,Vascular plants,pollen,Myriophyllum,AQVP,262,6
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,18,2
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,43,4
NISP,NA,pollen,199,NA,Vascular plants,pollen,Arecaceae,PALM,4,1
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,71,9
NISP,NA,pollen,218,NA,Vascular plants,pollen,Plantago undiff.,UPHE,1,1
NISP,NA,pollen,219,NA,Vascular plants,pollen,Plantago major,UPHE,7,2
NISP,NA,pollen,220,NA,Vascular plants,pollen,Plantago lanceolata,UPHE,194,4
NISP,NA,pollen,222,NA,Vascular plants,pollen,Platanus,TRSH,207,10
NISP,NA,pollen,224,NA,Vascular plants,pollen,Polygalaceae,UPHE,163,4
NISP,NA,pollen,228,NA,Vascular plants,pollen,Apocynaceae,UPHE,4,1
NISP,NA,pollen,230,NA,Vascular plants,pollen,Persicaria amphibia,UPHE,18,2
NISP,NA,pollen,231,NA,Vascular plants,pollen,Polygonum aviculare-type,UPHE,106,7
NISP,NA,pollen,242,NA,Vascular plants,pollen,Potentilla-type,UPHE,11,3
NISP,NA,pollen,244,NA,Vascular plants,pollen,Primulaceae,UPHE,170,6
NISP,NA,pollen,245,NA,Vascular plants,pollen,Prunus-type,TRSH,93,4
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,173,8
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,22,1
NISP,NA,pollen,253,NA,Vascular plants,pollen,Ranunculus undiff.,UPHE,17,2
NISP,NA,pollen,256,NA,Vascular plants,pollen,Rhamnaceae,TRSH,43,7
NISP,NA,pollen,257,NA,Vascular plants,pollen,Combretaceae/Melastomataceae,TRSH,59,3
NISP,NA,pollen,258,NA,Vascular plants,pollen,Rhizophora,MANG,62,2
NISP,NA,pollen,260,NA,Vascular plants,pollen,Rhus,TRSH,214,11
NISP,NA,pollen,266,NA,Vascular plants,pollen,Rubiaceae undiff.,TRSH,7,3
NISP,NA,pollen,267,NA,Vascular plants,pollen,Rubus,TRSH,84,2
NISP,NA,pollen,268,NA,Vascular plants,pollen,Rumex,UPHE,609,24
NISP,NA,pollen,270,NA,Vascular plants,pollen,Sagittaria,AQVP,86,2
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,434,21
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,17,6
NISP,NA,pollen,277,NA,Vascular plants,pollen,Sanguisorba,UPHE,18,2
NISP,NA,pollen,282,NA,Vascular plants,pollen,Saxifragaceae,UPHE,4,2
NISP,NA,pollen,284,NA,Vascular plants,pollen,Scrophulariaceae,UPHE,336,14
NISP,NA,pollen,285,NA,Vascular plants,pollen,Sedum,UPHE,1,1
NISP,NA,pollen,292,NA,Vascular plants,pollen,Solanaceae undiff.,UPHE,9,2
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,321,8
NISP,NA,pollen,297,NA,Vascular plants,pollen,Symplocos,TRSH,16,1
NISP,NA,pollen,299,NA,Vascular plants,pollen,Taxus,TRSH,2,2
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,190,12
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,24,7
NISP,NA,pollen,304,NA,Vascular plants,pollen,Trema,TRSH,29,1
NISP,NA,pollen,306,NA,Vascular plants,pollen,Tsuga,TRSH,3,1
NISP,NA,pollen,307,NA,Vascular plants,pollen,Asteroideae undiff.,UPHE,56,5
NISP,NA,pollen,308,NA,Vascular plants,pollen,Typha/Sparganium,AQVP,172,6
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,93,5
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,263,12
NISP,NA,pollen,311,NA,Vascular plants,pollen,Apiaceae,UPHE,1087,31
NISP,NA,pollen,315,NA,Vascular plants,pollen,Urticaceae undiff.,UPHE,25,3
NISP,NA,pollen,316,NA,Vascular plants,pollen,Utricularia,AQVP,4,2
NISP,NA,pollen,318,NA,Vascular plants,pollen,Valeriana,UPHE,27,1
NISP,NA,pollen,320,NA,Vascular plants,pollen,Vitis,TRSH,377,18
NISP,NA,pollen,322,NA,Vascular plants,pollen,Xanthium,UPHE,46,7
NISP,NA,pollen,323,NA,Vascular plants,pollen,Zea mays,UPHE,2,2
NISP,NA,pollen,329,NA,Vascular plants,pollen,Pinaceae,TRSH,1,1
NISP,NA,pollen,330,NA,Vascular plants,pollen,Alnus,TRSH,341,20
NISP,NA,pollen,332,NA,Vascular plants,pollen,Viola,UPHE,16,4
NISP,NA,pollen,334,NA,Vascular plants,pollen,Sisyrinchium,UPHE,8,2
NISP,NA,pollen,336,NA,Vascular plants,pollen,Lythrum,UPHE,57,5
NISP,NA,pollen,338,NA,Vascular plants,pollen,Acer,TRSH,377,14
NISP,NA,pollen,341,NA,Vascular plants,pollen,Liliaceae,UPHE,429,17
NISP,NA,pollen,345,NA,Vascular plants,pollen,Ambrosia,UPHE,36,5
NISP,NA,pollen,346,NA,Vascular plants,pollen,Fabaceae,UPHE,679,25
NISP,NA,pollen,347,NA,Vascular plants,pollen,Anacardiaceae,TRSH,35,4
NISP,NA,pollen,350,NA,Vascular plants,pollen,Ranunculaceae,UPHE,640,19
NISP,NA,pollen,351,NA,Vascular plants,pollen,Campanulaceae,UPHE,186,10
NISP,NA,pollen,355,NA,Vascular plants,pollen,Rosaceae undiff.,UPHE,53,2
NISP,NA,pollen,361,NA,Vascular plants,pollen,Cornus,TRSH,1,1
NISP,NA,pollen,363,NA,Vascular plants,pollen,Juniperus-type,TRSH,9,1
NISP,NA,pollen,366,NA,Vascular plants,pollen,Ephedra,TRSH,235,15
NISP,NA,pollen,369,NA,Vascular plants,pollen,Fraxinus,TRSH,422,16
NISP,NA,pollen,372,NA,Vascular plants,pollen,Juglans,TRSH,410,15
NISP,NA,pollen,383,NA,Vascular plants,pollen,Myrica,TRSH,118,10
NISP,NA,pollen,385,NA,Vascular plants,pollen,Pinus,TRSH,1376,31
NISP,NA,pollen,388,NA,Vascular plants,pollen,Pistacia,TRSH,785,20
NISP,NA,pollen,389,NA,Vascular plants,pollen,Populus,TRSH,238,9
NISP,NA,pollen,390,NA,Vascular plants,pollen,Rutaceae,TRSH,1,1
NISP,NA,pollen,391,NA,Vascular plants,pollen,Amaranthaceae,UPHE,1364,37
NISP,NA,pollen,394,NA,Vascular plants,pollen,Caprifoliaceae,TRSH,3,1
NISP,NA,pollen,397,NA,Vascular plants,pollen,Viburnum,TRSH,23,2
NISP,NA,pollen,409,NA,Vascular plants,pollen,Asteraceae,UPHE,355,7
NISP,NA,pollen,414,NA,Vascular plants,pollen,Avena-type,UPHE,13,1
NISP,NA,pollen,416,NA,Vascular plants,pollen,Poaceae (Cerealia),UPHE,516,12
NISP,NA,pollen,417,NA,Vascular plants,pollen,Poaceae,UPHE,1632,40
NISP,NA,pollen,418,NA,Vascular plants,pollen,Asteroideae,UPHE,993,26
NISP,NA,pollen,420,NA,Vascular plants,pollen,Brassicaceae,UPHE,926,31
NISP,NA,pollen,425,NA,Vascular plants,pollen,Humulus,UPHE,3,1
NISP,NA,pollen,430,NA,Vascular plants,pollen,Cyperaceae undiff.,UPHE,225,4
NISP,NA,pollen,445,NA,Vascular plants,pollen,Onagraceae,UPHE,12,5
NISP,NA,pollen,448,NA,Vascular plants,pollen,Gentiana,UPHE,8,2
NISP,NA,pollen,452,NA,Vascular plants,pollen,Heliotropium,UPHE,37,5
NISP,NA,pollen,460,NA,Vascular plants,pollen,Lamiaceae,UPHE,459,14
NISP,NA,pollen,464,NA,Vascular plants,pollen,Urticaceae,UPHE,219,8
NISP,NA,pollen,470,NA,Vascular plants,pollen,Oenothera,UPHE,1,1
NISP,NA,pollen,476,NA,Vascular plants,pollen,Pedicularis,UPHE,22,1
NISP,NA,pollen,480,NA,Vascular plants,pollen,Plantago,UPHE,753,19
NISP,NA,pollen,483,NA,Vascular plants,pollen,Rosaceae,UPHE,736,18
NISP,NA,pollen,487,NA,Vascular plants,pollen,Saxifraga,UPHE,17,2
NISP,NA,pollen,488,NA,Vascular plants,pollen,Secale-type,UPHE,1,1
NISP,NA,pollen,491,NA,Vascular plants,pollen,Stachys-type,UPHE,14,5
NISP,NA,pollen,492,NA,Vascular plants,pollen,Suaeda-type,UPHE,8,1
NISP,NA,pollen,497,NA,Vascular plants,pollen,Triticum-type,UPHE,127,3
NISP,NA,pollen,498,NA,Vascular plants,pollen,Urtica,UPHE,29,2
NISP,NA,pollen,500,NA,Vascular plants,pollen,Verbena,UPHE,3,1
NISP,NA,pollen,513,NA,Vascular plants,pollen,Alisma,AQVP,57,5
NISP,NA,pollen,515,NA,Vascular plants,pollen,Lemna,AQVP,166,5
NISP,NA,pollen,517,NA,Vascular plants,pollen,Potamogeton,AQVP,340,9
NISP,NA,pollen,525,NA,Vascular plants,pollen,Scrophulariaceae-type,UPHE,1,1
NISP,NA,pollen,539,NA,Vascular plants,pollen,Lysimachia,UPHE,4,3
NISP,NA,pollen,540,NA,Vascular plants,pollen,Polygonum,UPHE,270,8
NISP,NA,pollen,543,NA,Vascular plants,pollen,Solanaceae,UPHE,24,3
NISP,NA,pollen,546,NA,Vascular plants,pollen,Malva,UPHE,19,3
NISP,NA,pollen,549,NA,Vascular plants,pollen,Ranunculus,UPHE,145,4
NISP,NA,pollen,557,NA,Vascular plants,pollen,Allium-type,UPHE,51,4
NISP,NA,pollen,558,NA,Vascular plants,pollen,Amelanchier,TRSH,1,1
NISP,NA,pollen,582,NA,Vascular plants,pollen,Butomus umbellatus,AQVP,7,2
NISP,NA,pollen,586,NA,Vascular plants,pollen,Campanula-type,UPHE,70,3
NISP,NA,pollen,592,NA,Vascular plants,pollen,Centaurea,UPHE,690,18
NISP,NA,pollen,636,NA,Vascular plants,pollen,Linum,UPHE,15,3
NISP,NA,pollen,656,NA,Vascular plants,pollen,Mentha-type,UPHE,124,6
NISP,NA,pollen,665,NA,Vascular plants,pollen,Myosotis-type,UPHE,2,1
NISP,NA,pollen,667,NA,Vascular plants,pollen,Myriophyllum alterniflorum,AQVP,2,1
NISP,NA,pollen,674,NA,Vascular plants,pollen,Oleaceae undiff.,TRSH,55,3
NISP,NA,pollen,684,NA,Vascular plants,pollen,Papaveraceae,UPHE,166,6
NISP,NA,pollen,694,NA,Vascular plants,pollen,Euphorbiaceae,UPHE,87,8
NISP,NA,pollen,698,NA,Vascular plants,pollen,Plantaginaceae,UPHE,78,8
NISP,NA,pollen,699,NA,Vascular plants,pollen,Plantago lanceolata-type,UPHE,186,9
NISP,NA,pollen,702,NA,Vascular plants,pollen,Polygonaceae,UPHE,125,6
NISP,NA,pollen,703,NA,Vascular plants,pollen,Bistorta officinalis-type,UPHE,8,1
NISP,NA,pollen,714,NA,Vascular plants,pollen,Prunella-type,UPHE,1,1
NISP,NA,pollen,715,NA,Vascular plants,pollen,Prunus,TRSH,143,3
NISP,NA,pollen,733,NA,Vascular plants,pollen,Rubiaceae,TRSH,272,10
NISP,NA,pollen,736,NA,Vascular plants,pollen,Rumex acetosa-type,UPHE,51,5
NISP,NA,pollen,737,NA,Vascular plants,pollen,Ruppia,AQVP,3,1
NISP,NA,pollen,751,NA,Vascular plants,pollen,Typha,AQVP,630,18
NISP,NA,pollen,762,NA,Vascular plants,pollen,Trifolium-type,UPHE,115,7
NISP,NA,pollen,776,NA,Vascular plants,pollen,Loranthaceae,TRSH,13,3
NISP,NA,pollen,785,NA,Vascular plants,pollen,Rhamnus,TRSH,312,10
NISP,NA,pollen,786,NA,Vascular plants,pollen,Mimosa,TRSH,1,1
NISP,NA,pollen,797,NA,Vascular plants,pollen,Xanthium-type,UPHE,25,3
NISP,NA,pollen,804,NA,Vascular plants,pollen,Chenopodium-type,UPHE,98,1
NISP,NA,pollen,806,NA,Vascular plants,pollen,Humulus/Cannabis,UPHE,23,6
NISP,NA,pollen,808,NA,Vascular plants,pollen,Vicia-type,UPHE,6,3
NISP,NA,pollen,809,NA,Vascular plants,pollen,Zanthoxylum,TRSH,2,1
NISP,NA,pollen,822,NA,Vascular plants,pollen,Cirsium/Carduus-type,UPHE,114,1
NISP,NA,pollen,825,NA,Vascular plants,pollen,Potentilla,UPHE,6,2
NISP,NA,pollen,838,NA,Vascular plants,pollen,Plantago major-type,UPHE,100,4
NISP,NA,pollen,842,NA,Vascular plants,pollen,Ononis-type,UPHE,8,2
NISP,NA,pollen,852,NA,Vascular plants,pollen,Diospyros,TRSH,6,3
NISP,NA,pollen,856,NA,Vascular plants,pollen,Illicium,TRSH,8,1
NISP,NA,pollen,881,NA,Vascular plants,pollen,Hydrocotyle-type,AQVP,3,1
NISP,NA,pollen,883,NA,Vascular plants,pollen,Myrtaceae,TRSH,7,4
NISP,NA,pollen,884,NA,Vascular plants,pollen,Persicaria maculosa-type,UPHE,26,9
NISP,NA,pollen,904,NA,Vascular plants,pollen,Rumex undiff.,UPHE,10,1
NISP,NA,pollen,908,NA,Vascular plants,pollen,Sparganium,AQVP,77,2
NISP,NA,pollen,910,NA,Vascular plants,pollen,Arecaceae undiff.,PALM,1,1
NISP,NA,pollen,947,NA,Vascular plants,pollen,Polygonum aviculare,UPHE,179,4
NISP,NA,pollen,980,NA,Vascular plants,pollen,Sanguisorba-type,UPHE,53,4
NISP,NA,pollen,983,NA,Vascular plants,pollen,Juniperus,TRSH,476,18
NISP,NA,pollen,988,NA,Vascular plants,pollen,Persicaria maculosa,UPHE,1,1
NISP,NA,pollen,996,NA,Vascular plants,pollen,Ranunculus acris-type,UPHE,1,1
NISP,NA,pollen,999,NA,Vascular plants,pollen,Cerastium-type,UPHE,14,2
NISP,NA,pollen,1002,NA,Vascular plants,pollen,Astragalus,UPHE,1,1
NISP,NA,pollen,1013,NA,Vascular plants,pollen,Caryophyllaceae undiff.,UPHE,26,4
NISP,NA,pollen,1017,NA,Vascular plants,pollen,Dacrydium,TRSH,1,1
NISP,NA,pollen,1028,NA,Vascular plants,pollen,Podocarpus,TRSH,158,15
NISP,NA,pollen,1066,NA,Vascular plants,pollen,Lupinus,UPHE,1,1
NISP,NA,pollen,1069,NA,Vascular plants,pollen,Papaver,UPHE,53,5
NISP,NA,pollen,1072,NA,Vascular plants,pollen,Polygala,UPHE,22,5
NISP,NA,pollen,1074,NA,Vascular plants,pollen,Boraginaceae undiff.,UPHE,3,1
NISP,NA,pollen,1075,NA,Vascular plants,pollen,cf. Rhus,TRSH,1,1
NISP,NA,pollen,1078,NA,Vascular plants,pollen,Trifolium,UPHE,2,1
NISP,NA,pollen,1094,NA,Vascular plants,pollen,Convolvulus-type,UPHE,16,2
NISP,NA,pollen,1098,NA,Vascular plants,pollen,Juncus,AQVP,67,1
NISP,NA,pollen,1113,NA,Vascular plants,pollen,cf. Trema,TRSH,1,1
NISP,NA,pollen,1120,NA,Vascular plants,pollen,cf. Brassicaceae,UPHE,1,1
NISP,NA,pollen,1121,NA,Vascular plants,pollen,Typha angustifolia-type,AQVP,14,1
NISP,NA,pollen,1131,NA,Vascular plants,pollen,Avicennia,MANG,75,3
NISP,NA,pollen,1135,NA,Vascular plants,pollen,Sisyrinchium-type,UPHE,6,1
NISP,NA,pollen,1142,NA,Vascular plants,pollen,Anemone,UPHE,11,3
NISP,NA,pollen,1143,NA,Vascular plants,pollen,Aconitum,UPHE,1,1
NISP,NA,pollen,1154,NA,Vascular plants,pollen,Androsace,UPHE,1,1
NISP,NA,pollen,1160,NA,Vascular plants,pollen,Scrophulariaceae undiff.,UPHE,2,1
NISP,NA,pollen,1161,NA,Vascular plants,pollen,Anemone-type,UPHE,4,1
NISP,NA,pollen,1163,NA,Vascular plants,pollen,Astragalus-type,UPHE,10,4
NISP,NA,pollen,1172,NA,Vascular plants,pollen,Apiaceae undiff.,UPHE,28,4
NISP,NA,pollen,1177,NA,Vascular plants,pollen,Alismataceae,AQVP,190,4
NISP,NA,pollen,1178,NA,Vascular plants,pollen,Geraniaceae,UPHE,21,2
NISP,NA,pollen,1184,NA,Vascular plants,pollen,Bistorta officinalis,UPHE,4,1
NISP,NA,pollen,1220,NA,Vascular plants,pollen,Rutaceae undiff.,TRSH,12,1
NISP,NA,pollen,1231,NA,Vascular plants,pollen,Sapindaceae undiff.,TRSH,7,2
NISP,NA,pollen,1237,NA,Vascular plants,pollen,Ostrya,TRSH,29,4
NISP,NA,pollen,1249,NA,Vascular plants,pollen,Eucalyptus,TRSH,11,3
NISP,NA,pollen,1260,NA,Vascular plants,pollen,Helianthemum,UPHE,256,18
NISP,NA,pollen,1262,NA,Vascular plants,pollen,Solanum,UPHE,17,6
NISP,NA,pollen,1266,NA,Vascular plants,pollen,Euphorbia-type,UPHE,42,3
NISP,NA,pollen,1267,NA,Vascular plants,pollen,Bupleurum-type,UPHE,94,8
NISP,NA,pollen,1268,NA,Vascular plants,pollen,Typha latifolia-type,AQVP,1,1
NISP,NA,pollen,1269,NA,Vascular plants,pollen,Symphoricarpos,TRSH,2,1
NISP,NA,pollen,1279,NA,Vascular plants,pollen,Salsola-type,UPHE,7,1
NISP,NA,pollen,1298,NA,Vascular plants,pollen,Plumbaginaceae,UPHE,96,6
NISP,NA,pollen,1301,NA,Vascular plants,pollen,Sanguisorba officinalis,UPHE,6,3
NISP,NA,pollen,1302,NA,Vascular plants,pollen,Valerianoideae,UPHE,21,4
NISP,NA,pollen,1306,NA,Vascular plants,pollen,Hippophaë rhamnoides,TRSH,3,1
NISP,NA,pollen,1308,NA,Vascular plants,pollen,Echinops,UPHE,66,7
NISP,NA,pollen,1311,NA,Vascular plants,pollen,Myriophyllum verticillatum,AQVP,7,1
NISP,NA,pollen,1319,NA,Vascular plants,pollen,Carpinus betulus,TRSH,45,6
NISP,NA,pollen,1325,NA,Vascular plants,pollen,Scabiosa,UPHE,248,11
NISP,NA,pollen,1327,NA,Vascular plants,pollen,Convolvulaceae,UPHE,21,7
NISP,NA,pollen,1332,NA,Vascular plants,pollen,Carpinus orientalis,TRSH,180,4
NISP,NA,pollen,1334,NA,Vascular plants,pollen,Viscum,TRSH,1,1
NISP,NA,pollen,1336,NA,Vascular plants,pollen,Centaurea cyanus,UPHE,2,1
NISP,NA,pollen,1339,NA,Vascular plants,pollen,Salvia,UPHE,8,1
NISP,NA,pollen,1340,NA,Vascular plants,pollen,Dipsacoideae,UPHE,192,8
NISP,NA,pollen,1391,NA,Vascular plants,pollen,Dipsacoideae undiff.,UPHE,1,1
NISP,NA,pollen,1393,NA,Vascular plants,pollen,Convolvulaceae undiff.,UPHE,4,3
