units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,NA,pollen,199,NA,Vascular plants,pollen,Arecaceae,PALM,1,1
NISP,NA,pollen,206,NA,Vascular plants,pollen,Phacelia,UPHE,30,4
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,3074,62
NISP,NA,pollen,212,NA,Vascular plants,pollen,Pinus subg. Pinus,TRSH,912,20
NISP,NA,pollen,213,NA,Vascular plants,pollen,Pinus subg. Strobus,TRSH,931,22
NISP,NA,pollen,216,NA,Vascular plants,pollen,Pinus undiff.,TRSH,1653,30
NISP,NA,pollen,218,NA,Vascular plants,pollen,Plantago undiff.,UPHE,2,1
NISP,NA,pollen,220,NA,Vascular plants,pollen,Plantago lanceolata,UPHE,2,1
NISP,NA,pollen,222,NA,Vascular plants,pollen,Platanus,TRSH,1,1
NISP,NA,pollen,223,NA,Vascular plants,pollen,Polemoniaceae,UPHE,25,4
NISP,NA,pollen,225,NA,Vascular plants,pollen,Polygonaceae undiff.,UPHE,65,3
NISP,NA,pollen,232,NA,Vascular plants,pollen,Bistorta bistortoides-type,UPHE,58,5
NISP,NA,pollen,238,NA,Vascular plants,pollen,Populus balsamifera-type,TRSH,9,1
NISP,NA,pollen,239,NA,Vascular plants,pollen,Populus tremuloides-type,TRSH,36,2
NISP,NA,pollen,242,NA,Vascular plants,pollen,Potentilla-type,UPHE,30,4
NISP,NA,pollen,244,NA,Vascular plants,pollen,Primulaceae,UPHE,5,5
NISP,NA,pollen,245,NA,Vascular plants,pollen,Prunus-type,TRSH,33,4
NISP,NA,pollen,246,NA,Vascular plants,pollen,Pseudotsuga,TRSH,808,17
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,520,33
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,212,11
NISP,NA,pollen,256,NA,Vascular plants,pollen,Rhamnaceae,TRSH,80,7
NISP,NA,pollen,260,NA,Vascular plants,pollen,Rhus,TRSH,2,1
NISP,NA,pollen,261,NA,Vascular plants,pollen,Rhynchospora,AQVP,1,1
NISP,NA,pollen,262,NA,Vascular plants,pollen,Ribes,TRSH,9,5
NISP,NA,pollen,264,NA,Vascular plants,pollen,Alnus rubra-type,TRSH,937,14
NISP,NA,pollen,267,NA,Vascular plants,pollen,Rubus,TRSH,24,5
NISP,NA,pollen,268,NA,Vascular plants,pollen,Rumex,UPHE,113,16
NISP,NA,pollen,270,NA,Vascular plants,pollen,Sagittaria,AQVP,32,6
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,2249,62
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,260,18
NISP,NA,pollen,277,NA,Vascular plants,pollen,Sanguisorba,UPHE,68,6
NISP,NA,pollen,279,NA,Vascular plants,pollen,Sarcobatus vermiculatus,TRSH,312,25
NISP,NA,pollen,282,NA,Vascular plants,pollen,Saxifragaceae,UPHE,101,15
NISP,NA,pollen,284,NA,Vascular plants,pollen,Scrophulariaceae,UPHE,49,6
NISP,NA,pollen,285,NA,Vascular plants,pollen,Sedum,UPHE,2,1
NISP,NA,pollen,288,NA,Vascular plants,pollen,Shepherdia undiff.,TRSH,1,1
NISP,NA,pollen,289,NA,Vascular plants,pollen,Shepherdia argentea,TRSH,2,1
NISP,NA,pollen,290,NA,Vascular plants,pollen,Shepherdia canadensis,TRSH,205,15
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,143,8
NISP,NA,pollen,295,NA,Vascular plants,pollen,Spiraea-type,TRSH,339,9
NISP,NA,pollen,299,NA,Vascular plants,pollen,Taxus,TRSH,87,6
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,482,36
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,28,2
NISP,NA,pollen,306,NA,Vascular plants,pollen,Tsuga,TRSH,24,3
NISP,NA,pollen,307,NA,Vascular plants,pollen,Asteroideae undiff.,UPHE,906,23
NISP,NA,pollen,308,NA,Vascular plants,pollen,Typha/Sparganium,AQVP,2,2
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,264,25
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,3,3
NISP,NA,pollen,311,NA,Vascular plants,pollen,Apiaceae,UPHE,705,43
NISP,NA,pollen,312,NA,Unidentified palynomorphs,pollen,Indeterminable,UNID,7,2
NISP,NA,pollen,313,NA,Unidentified palynomorphs,pollen,Unknown,UNID,38,2
NISP,NA,pollen,314,NA,Vascular plants,pollen,Urtica-type,UPHE,4,1
NISP,NA,pollen,317,NA,Vascular plants,pollen,Vaccinium,TRSH,19,2
NISP,NA,pollen,318,NA,Vascular plants,pollen,Valeriana,UPHE,21,7
NISP,NA,pollen,320,NA,Vascular plants,pollen,Vitis,TRSH,3,1
NISP,NA,pollen,322,NA,Vascular plants,pollen,Xanthium,UPHE,2,1
NISP,NA,pollen,327,NA,Vascular plants,pollen,Betulaceae,TRSH,1,1
NISP,NA,pollen,328,NA,Vascular plants,pollen,Fagaceae,TRSH,1,1
NISP,NA,pollen,329,NA,Vascular plants,pollen,Pinaceae,TRSH,11,1
NISP,NA,pollen,330,NA,Vascular plants,pollen,Alnus,TRSH,1801,38
NISP,NA,pollen,332,NA,Vascular plants,pollen,Viola,UPHE,4,1
NISP,NA,pollen,338,NA,Vascular plants,pollen,Acer,TRSH,192,18
NISP,NA,pollen,341,NA,Vascular plants,pollen,Liliaceae,UPHE,265,27
NISP,NA,pollen,345,NA,Vascular plants,pollen,Ambrosia,UPHE,450,32
NISP,NA,pollen,346,NA,Vascular plants,pollen,Fabaceae,UPHE,304,21
NISP,NA,pollen,350,NA,Vascular plants,pollen,Ranunculaceae,UPHE,154,14
NISP,NA,pollen,351,NA,Vascular plants,pollen,Campanulaceae,UPHE,8,3
NISP,NA,pollen,354,NA,Vascular plants,pollen,Amelanchier-type,TRSH,17,1
NISP,NA,pollen,355,NA,Vascular plants,pollen,Rosaceae undiff.,UPHE,730,21
NISP,NA,pollen,361,NA,Vascular plants,pollen,Cornus,TRSH,61,13
NISP,NA,pollen,363,NA,Vascular plants,pollen,Juniperus-type,TRSH,161,2
NISP,NA,pollen,366,NA,Vascular plants,pollen,Ephedra,TRSH,64,11
NISP,NA,pollen,369,NA,Vascular plants,pollen,Fraxinus,TRSH,117,13
NISP,NA,pollen,372,NA,Vascular plants,pollen,Juglans,TRSH,51,2
NISP,NA,pollen,373,NA,Vascular plants,pollen,Larix/Pseudotsuga,TRSH,838,19
NISP,NA,pollen,374,NA,Vascular plants,pollen,Pinaceae (vesiculate) undiff.,TRSH,101,3
NISP,NA,pollen,381,NA,Vascular plants,pollen,Myricaceae,TRSH,1,1
NISP,NA,pollen,383,NA,Vascular plants,pollen,Myrica,TRSH,375,28
NISP,NA,pollen,385,NA,Vascular plants,pollen,Pinus,TRSH,1064,27
NISP,NA,pollen,389,NA,Vascular plants,pollen,Populus,TRSH,842,41
NISP,NA,pollen,391,NA,Vascular plants,pollen,Amaranthaceae,UPHE,1027,48
NISP,NA,pollen,393,NA,Vascular plants,pollen,Symphoricarpos-type,TRSH,1,1
NISP,NA,pollen,394,NA,Vascular plants,pollen,Caprifoliaceae,TRSH,17,2
NISP,NA,pollen,397,NA,Vascular plants,pollen,Viburnum,TRSH,3,2
NISP,NA,pollen,402,NA,Vascular plants,pollen,Amorpha,UPHE,1,1
NISP,NA,pollen,409,NA,Vascular plants,pollen,Asteraceae,UPHE,295,10
NISP,NA,pollen,417,NA,Vascular plants,pollen,Poaceae,UPHE,2740,68
NISP,NA,pollen,418,NA,Vascular plants,pollen,Asteroideae,UPHE,153,10
NISP,NA,pollen,419,NA,Vascular plants,pollen,Brassica,UPHE,8,1
NISP,NA,pollen,420,NA,Vascular plants,pollen,Brassicaceae,UPHE,228,26
NISP,NA,pollen,430,NA,Vascular plants,pollen,Cyperaceae undiff.,UPHE,55,1
NISP,NA,pollen,431,NA,Vascular plants,pollen,Dalea,UPHE,1,1
NISP,NA,pollen,443,NA,Vascular plants,pollen,Dodecatheon,UPHE,33,5
NISP,NA,pollen,444,NA,Vascular plants,pollen,Dryas,UPHE,60,3
NISP,NA,pollen,445,NA,Vascular plants,pollen,Onagraceae,UPHE,53,17
NISP,NA,pollen,448,NA,Vascular plants,pollen,Gentiana,UPHE,15,5
NISP,NA,pollen,452,NA,Vascular plants,pollen,Heliotropium,UPHE,1,1
NISP,NA,pollen,460,NA,Vascular plants,pollen,Lamiaceae,UPHE,108,14
NISP,NA,pollen,464,NA,Vascular plants,pollen,Urticaceae,UPHE,4,3
NISP,NA,pollen,474,NA,Vascular plants,pollen,Angiospermae undiff. (upland herbs),UPHE,28,1
NISP,NA,pollen,476,NA,Vascular plants,pollen,Pedicularis,UPHE,14,3
NISP,NA,pollen,477,NA,Vascular plants,pollen,Phlox,UPHE,39,5
NISP,NA,pollen,480,NA,Vascular plants,pollen,Plantago,UPHE,68,21
NISP,NA,pollen,483,NA,Vascular plants,pollen,Rosaceae,UPHE,984,27
NISP,NA,pollen,487,NA,Vascular plants,pollen,Saxifraga,UPHE,27,4
NISP,NA,pollen,498,NA,Vascular plants,pollen,Urtica,UPHE,3,3
NISP,NA,pollen,500,NA,Vascular plants,pollen,Verbena,UPHE,1,1
NISP,NA,pollen,515,NA,Vascular plants,pollen,Lemna,AQVP,15,3
NISP,NA,pollen,517,NA,Vascular plants,pollen,Potamogeton,AQVP,429,28
NISP,NA,pollen,527,NA,Vascular plants,pollen,Valeriana-type,UPHE,5,1
NISP,NA,pollen,528,NA,Vascular plants,pollen,Polygonum californicum-type,UPHE,79,4
NISP,NA,pollen,529,NA,Vascular plants,pollen,Tsuga mertensiana,TRSH,1586,47
NISP,NA,pollen,530,NA,Vascular plants,pollen,Tsuga heterophylla,TRSH,2591,57
NISP,NA,pollen,536,NA,Vascular plants,pollen,Rumex/Oxyria digyna,UPHE,11,2
NISP,NA,pollen,540,NA,Vascular plants,pollen,Polygonum,UPHE,34,6
NISP,NA,pollen,542,NA,Vascular plants,pollen,Shepherdia,TRSH,85,7
NISP,NA,pollen,543,NA,Vascular plants,pollen,Solanaceae,UPHE,1,1
NISP,NA,pollen,545,NA,Vascular plants,pollen,Stellaria,UPHE,24,2
NISP,NA,pollen,549,NA,Vascular plants,pollen,Ranunculus,UPHE,24,7
NISP,NA,pollen,551,NA,Vascular plants,pollen,Cornus sericea-type,TRSH,30,3
NISP,NA,pollen,558,NA,Vascular plants,pollen,Amelanchier,TRSH,12,1
NISP,NA,pollen,579,NA,Vascular plants,pollen,Cornus sericea,TRSH,27,7
NISP,NA,pollen,584,NA,Vascular plants,pollen,cf. Callitriche,AQVP,1,1
NISP,NA,pollen,585,NA,Vascular plants,pollen,Caltha-type,UPHE,4,2
NISP,NA,pollen,600,NA,Vascular plants,pollen,Cornus canadensis,TRSH,120,8
NISP,NA,pollen,615,NA,Vascular plants,pollen,Elaeagnus commutata,TRSH,5,3
NISP,NA,pollen,635,NA,Vascular plants,pollen,Linnaea borealis,UPHE,1,1
NISP,NA,pollen,661,NA,Vascular plants,pollen,Monotropa,UPHE,1,1
NISP,NA,pollen,673,NA,Vascular plants,pollen,Nymphaeaceae,AQVP,4,1
NISP,NA,pollen,694,NA,Vascular plants,pollen,Euphorbiaceae,UPHE,4,1
NISP,NA,pollen,698,NA,Vascular plants,pollen,Plantaginaceae,UPHE,1,1
NISP,NA,pollen,702,NA,Vascular plants,pollen,Polygonaceae,UPHE,151,8
NISP,NA,pollen,703,NA,Vascular plants,pollen,Bistorta officinalis-type,UPHE,3,1
NISP,NA,pollen,705,NA,Vascular plants,pollen,Bistorta vivipara,UPHE,4,1
NISP,NA,pollen,715,NA,Vascular plants,pollen,Prunus,TRSH,3,2
NISP,NA,pollen,733,NA,Vascular plants,pollen,Rubiaceae,TRSH,22,5
NISP,NA,pollen,734,NA,Vascular plants,pollen,Rubus chamaemorus,TRSH,1,1
NISP,NA,pollen,735,NA,Vascular plants,pollen,Rumex-type,UPHE,6,1
NISP,NA,pollen,751,NA,Vascular plants,pollen,Typha,AQVP,244,20
NISP,NA,pollen,753,NA,Vascular plants,pollen,Spiraea,TRSH,43,2
NISP,NA,pollen,757,NA,Vascular plants,pollen,cf. Taxus,TRSH,21,1
NISP,NA,pollen,785,NA,Vascular plants,pollen,Rhamnus,TRSH,52,8
NISP,NA,pollen,798,NA,Vascular plants,pollen,Polemonium,UPHE,30,4
NISP,NA,pollen,804,NA,Vascular plants,pollen,Chenopodium-type,UPHE,29,1
NISP,NA,pollen,810,NA,Vascular plants,pollen,Potamogeton-type,AQVP,39,3
NISP,NA,pollen,813,NA,Vascular plants,pollen,Campanula,UPHE,4,3
NISP,NA,pollen,815,NA,Vascular plants,pollen,Ranunculus-type,UPHE,61,3
NISP,NA,pollen,825,NA,Vascular plants,pollen,Potentilla,UPHE,23,7
NISP,NA,pollen,831,NA,Vascular plants,pollen,Cornus canadensis-type,TRSH,69,4
NISP,NA,pollen,841,NA,Vascular plants,pollen,Stellaria-type,UPHE,43,3
NISP,NA,pollen,848,NA,Vascular plants,pollen,Ericales,TRSH,16,4
NISP,NA,pollen,849,NA,Vascular plants,pollen,Ericales undiff.,TRSH,27,2
NISP,NA,pollen,854,NA,Vascular plants,pollen,Claytonia,UPHE,13,2
NISP,NA,pollen,861,NA,Vascular plants,pollen,Alnus rubra,TRSH,451,11
NISP,NA,pollen,862,NA,Vascular plants,pollen,Populus trichocarpa-type,TRSH,62,1
NISP,NA,pollen,863,NA,Vascular plants,pollen,Chrysolepis/Lithocarpus,TRSH,14,1
NISP,NA,pollen,864,NA,Vascular plants,pollen,Acer circinatum,TRSH,129,8
NISP,NA,pollen,865,NA,Vascular plants,pollen,Acer macrophyllum,TRSH,268,10
NISP,NA,pollen,866,NA,Vascular plants,pollen,Garrya,TRSH,2,1
NISP,NA,pollen,867,NA,Vascular plants,pollen,Berberidaceae,TRSH,24,1
NISP,NA,pollen,868,NA,Vascular plants,pollen,Gilia,UPHE,18,4
NISP,NA,pollen,869,NA,Vascular plants,pollen,Bistorta bistortoides,UPHE,14,6
NISP,NA,pollen,870,NA,Vascular plants,pollen,Polygonum californicum,UPHE,30,1
NISP,NA,pollen,871,NA,Vascular plants,pollen,Heuchera,UPHE,1,1
NISP,NA,pollen,872,NA,Vascular plants,pollen,Camassia,UPHE,25,2
NISP,NA,pollen,876,NA,Vascular plants,pollen,Asteraceae (high spine),UPHE,14,1
NISP,NA,pollen,882,NA,Vascular plants,pollen,Rhododendron subsect. Ledum-type,TRSH,2,1
NISP,NA,pollen,888,NA,Vascular plants,pollen,Persicaria amphibia-type,UPHE,11,1
NISP,NA,pollen,908,NA,Vascular plants,pollen,Sparganium,AQVP,117,12
NISP,NA,pollen,909,NA,Vascular plants,pollen,Ericaceae undiff.,TRSH,182,7
NISP,NA,pollen,912,NA,Vascular plants,pollen,Saxifragaceae undiff.,UPHE,13,2
NISP,NA,pollen,947,NA,Vascular plants,pollen,Polygonum aviculare,UPHE,6,1
NISP,NA,pollen,968,NA,Vascular plants,pollen,Triglochin,AQVP,118,4
NISP,NA,pollen,970,NA,Vascular plants,pollen,Acer macrophyllum-type,TRSH,113,6
NISP,NA,pollen,971,NA,Vascular plants,pollen,Alnus rhombifolia-type,TRSH,62,1
NISP,NA,pollen,973,NA,Vascular plants,pollen,Berberis-type,TRSH,3,1
NISP,NA,pollen,975,NA,Vascular plants,pollen,Fraxinus latifolia-type,TRSH,5,1
NISP,NA,pollen,976,NA,Vascular plants,pollen,Pinus contorta/P. ponderosa,TRSH,163,2
NISP,NA,pollen,977,NA,Vascular plants,pollen,Pinus monticola/P. albicaulis,TRSH,140,2
NISP,NA,pollen,978,NA,Vascular plants,pollen,Pseudotsuga-type,TRSH,239,6
NISP,NA,pollen,979,NA,Vascular plants,pollen,Phlox-type,UPHE,23,1
NISP,NA,pollen,980,NA,Vascular plants,pollen,Sanguisorba-type,UPHE,3,1
NISP,NA,pollen,982,NA,Vascular plants,pollen,Pinus contorta-type,TRSH,930,12
NISP,NA,pollen,983,NA,Vascular plants,pollen,Juniperus,TRSH,82,9
NISP,NA,pollen,984,NA,Vascular plants,pollen,Cercocarpus-type,TRSH,5,2
NISP,NA,pollen,994,NA,Vascular plants,pollen,Arenaria,UPHE,17,1
NISP,NA,pollen,1002,NA,Vascular plants,pollen,Astragalus,UPHE,11,4
NISP,NA,pollen,1013,NA,Vascular plants,pollen,Caryophyllaceae undiff.,UPHE,9,2
NISP,NA,pollen,1026,NA,Vascular plants,pollen,Empetrum-type,TRSH,10,1
NISP,NA,pollen,1066,NA,Vascular plants,pollen,Lupinus,UPHE,32,3
NISP,NA,pollen,1072,NA,Vascular plants,pollen,Polygala,UPHE,2,1
NISP,NA,pollen,1078,NA,Vascular plants,pollen,Trifolium,UPHE,2,2
NISP,NA,pollen,1097,NA,Vascular plants,pollen,Heuchera-type,UPHE,20,1
NISP,NA,pollen,1103,NA,Vascular plants,pollen,Cercocarpus,TRSH,126,3
NISP,NA,pollen,1136,NA,Vascular plants,pollen,Sapindaceae,TRSH,18,1
NISP,NA,pollen,1144,NA,Vascular plants,pollen,Saxifraga tricuspidata-type,UPHE,1,1
NISP,NA,pollen,1154,NA,Vascular plants,pollen,Androsace,UPHE,7,2
NISP,NA,pollen,1157,NA,Vascular plants,pollen,Saussurea,UPHE,6,1
NISP,NA,pollen,1162,NA,Vascular plants,pollen,Arctostaphylos,TRSH,17,1
NISP,NA,pollen,1172,NA,Vascular plants,pollen,Apiaceae undiff.,UPHE,46,7
NISP,NA,pollen,1173,NA,Vascular plants,pollen,Vaccinium-type,TRSH,58,2
NISP,NA,pollen,1178,NA,Vascular plants,pollen,Geraniaceae,UPHE,2,2
NISP,NA,pollen,1209,NA,Vascular plants,pollen,Rumex/Oxyria digyna undiff.,UPHE,1,1
NISP,NA,pollen,1210,NA,Vascular plants,pollen,Viscaceae sensu stricto undiff.,TRSH,1,1
NISP,NA,pollen,1217,NA,Vascular plants,pollen,Typha/Sparganium undiff.,AQVP,86,3
NISP,NA,pollen,1247,NA,Vascular plants,pollen,Chrysolepis,TRSH,21,1
NISP,NA,pollen,1270,NA,Vascular plants,pollen,Aquilegia,UPHE,1,1
NISP,NA,pollen,1274,NA,Vascular plants,pollen,Cupressaceae/Taxaceae undiff.,TRSH,3,2
NISP,NA,pollen,1297,NA,Vascular plants,pollen,Carex,UPHE,7,1
NISP,NA,pollen,1302,NA,Vascular plants,pollen,Valerianoideae,UPHE,33,5
NISP,NA,pollen,1327,NA,Vascular plants,pollen,Convolvulaceae,UPHE,5,1
NISP,NA,pollen,1398,NA,Vascular plants,pollen,Thuja-type,TRSH,35,2
NISP,NA,pollen,1406,NA,Vascular plants,pollen,Lysichiton,UPHE,381,16
NISP,NA,pollen,1409,NA,Vascular plants,pollen,Pinus monticola-type,TRSH,344,8
NISP,NA,pollen,1411,NA,Vascular plants,pollen,Acer glabrum,TRSH,81,5
NISP,NA,pollen,1412,NA,Vascular plants,pollen,Pseudotsuga menziesii,TRSH,582,14
NISP,NA,pollen,1434,NA,Vascular plants,pollen,Tofieldia,UPHE,23,1
NISP,NA,pollen,1435,NA,Vascular plants,pollen,Sorbus,TRSH,3,1
NISP,NA,pollen,1464,NA,Vascular plants,pollen,Acer circinatum-type,TRSH,47,3
NISP,NA,pollen,1465,NA,Vascular plants,pollen,Fraxinus latifolia,TRSH,54,4
NISP,NA,pollen,1466,NA,Vascular plants,pollen,Lysichiton americanus,UPHE,82,4
NISP,NA,pollen,1468,NA,Vascular plants,pollen,Frangula purshiana-type,TRSH,20,1
NISP,NA,pollen,1469,NA,Vascular plants,pollen,Taxus brevifolia,TRSH,40,3
NISP,NA,pollen,1471,NA,Vascular plants,pollen,Eudicotyledoneae (tricolporate),SEED,30,1
NISP,NA,pollen,1472,NA,Vascular plants,pollen,Ceanothus-type,TRSH,3,1
NISP,NA,pollen,1473,NA,Vascular plants,pollen,Saxifragaceae-type,UPHE,7,1
NISP,NA,pollen,1481,NA,Vascular plants,pollen,Collinsia,UPHE,1,1
NISP,NA,pollen,1482,NA,Vascular plants,pollen,cf. Dodecatheon,UPHE,31,1
NISP,NA,pollen,1487,NA,Vascular plants,pollen,Mimulus,UPHE,6,1
NISP,NA,pollen,1510,NA,Vascular plants,pollen,Centaurea-type,UPHE,1,1
NISP,NA,pollen,1534,NA,Vascular plants,pollen,Penstemon,UPHE,1,1
NISP,NA,pollen,1571,NA,Vascular plants,pollen,Eupatorium,UPHE,1,1
NISP,NA,pollen,1589,NA,Vascular plants,pollen,Linanthus,UPHE,8,2
NISP,NA,pollen,1590,NA,Vascular plants,pollen,Lithocarpus,TRSH,19,1
NISP,NA,pollen,1593,NA,Vascular plants,pollen,Persicaria cf. P. hydropiperoides,UPHE,1,1
NISP,NA,pollen,1596,NA,Vascular plants,pollen,Hypericum-type,UPHE,1,1
NISP,NA,pollen,1597,NA,Vascular plants,pollen,Thuja plicata-type,TRSH,54,1
NISP,NA,pollen,1598,NA,Vascular plants,pollen,Primulaceae undiff.,UPHE,1,1
NISP,NA,pollen,1631,NA,Vascular plants,pollen,Berberis,TRSH,5,1
NISP,NA,pollen,1693,NA,Vascular plants,pollen,Cornaceae,TRSH,8,3
NISP,NA,pollen,1710,NA,Vascular plants,pollen,Juglandaceae,TRSH,1,1
NISP,NA,pollen,1931,NA,Vascular plants,pollen,Liliaceae-type,UPHE,11,1
NISP,NA,pollen,2111,NA,Vascular plants,pollen,Navarretia,UPHE,3,1
NISP,NA,pollen,2196,NA,Vascular plants,pollen,Epilobium-type,UPHE,10,1
NISP,NA,pollen,2306,NA,Vascular plants,pollen,Silene,UPHE,2,1
NISP,NA,pollen,2307,NA,Vascular plants,pollen,Taraxacum,UPHE,8,1
