variablename,sites,samples,replacement
Fragilaria construens,2,37,Fragilaria 
Fragilaria construens,1,36,Fragilaria 
Fragilaria crotonensis,3,442,Fragilaria 
Fragilaria fasciculata,2,130,Fragilaria 
Fragilaria fasciculata,1,143,Fragilaria 
Fragilaria pinnata,2,108,Fragilaria 
Fragilaria pinnata,1,86,Fragilaria 
Fragilaria pseudoconstruens,1,4,Fragilaria 
Fragilaria sp. indet. A FRITZ,1,1,Fragilaria 
Fragilaria sp. indet. B FRITZ,1,2,Fragilaria 
Fragilaria spp.,2,73,Fragilaria 
Fragilaria spp.,1,65,Fragilaria 
Fragilaria spp. (planktonic),1,379,Fragilaria 
Fragilaria tenera,2,8,Fragilaria 
Fragilaria tenera,1,6,Fragilaria 
Fragilaria ulna/ Synedra acus,1,44,Fragilaria 
Fragilaria vaucheriae,1,444,Fragilaria 
Fragilaria venter,2,84,Fragilaria 
Fragilaria venter,1,72,Fragilaria 
Fragilaria zeilleri,2,245,Fragilaria 
Fragilaria zeilleri,1,248,Fragilaria 
Gomphonema acuminatum,1,95,Gomphonema 
Gomphonema angustatum,1,1,Gomphonema 
Gomphonema angustum,1,1,Gomphonema 
Gomphonema cf. pumilum,1,30,Gomphonema 
Gomphonema exiguum,1,1,Gomphonema 
Gomphonema minutum,1,107,Gomphonema 
Gomphonema parvulum,1,2,Gomphonema 
Gomphonema pumilum,2,263,Gomphonema 
Gomphonema pumilum (girdle view),1,28,Gomphonema 
Gomphonema spp.,4,637,Gomphonema 
Gomphonema spp.,1,235,Gomphonema 
Gomphonema vibrio,1,479,Gomphonema 
Gomphonema vibrio var. pumilum,1,483,Gomphonema 
Gyrosigma spp.,2,69,Gyrosigma 
Gyrosigma spp.,1,2,Gyrosigma 
Halamphora spp.,1,4,Halamphora 
Halamphora spp.,1,7,Halamphora 
Hantzschia amphioxys,1,2,Hantzschia 
Hantzschia sp. 1?,1,1,Hantzschia 
Hantzschia spp.,1,26,Hantzschia 
Hantzschia spp.,1,29,Hantzschia 
Hippodonta capitata,3,516,Hippodonta 
Hippodonta hungarica,3,169,Hippodonta 
Hippodonta hungarica,1,74,Hippodonta 
Karayevia clevei,1,41,Karayevia 
Luticola cohnii,1,4,Luticola 
Luticola sp. 1?,1,1,Luticola 
Luticola spp.,2,16,Luticola 
Luticola spp.,1,39,Luticola 
Martyana martyi,2,58,Martyana 
Martyana spp.,2,76,Martyana 
Martyana spp.,1,79,Martyana 
Mastogloia braunii,1,20,Mastogloia 
Mastogloia smithii,1,6,Mastogloia 
Mastogloia spp.,3,102,Mastogloia 
Mastogloia spp.,1,85,Mastogloia 
Melosira sp. ind. FRITZ,1,10,Melosira 
Melosira spp.,1,8,Melosira 
Navicula angusta,1,3,Navicula 
Navicula capitata var. hungarica,1,5,Navicula 
Navicula cari,2,31,Navicula 
Navicula cf. cari,1,381,Navicula 
Navicula cf. recens FRITZ,1,46,Navicula 
Navicula cf. veneta,1,86,Navicula 
Navicula cincta,1,44,Navicula 
Navicula circumtexta,1,60,Navicula 
Navicula cryptocephala,1,2,Navicula 
Navicula cryptotenella,3,525,Navicula 
Navicula digitoradiata,2,32,Navicula 
Navicula diluviana,1,1,Navicula 
Navicula halophila,2,396,Navicula 
Navicula incarum,1,74,Navicula 
Navicula lauca,1,84,Navicula 
Navicula peregrina,1,33,Navicula 
Navicula pusilla,1,5,Navicula 
Navicula pygmaea,1,20,Navicula 
Navicula radiosa,3,441,Navicula 
Navicula salinicola,2,44,Navicula 
Navicula sp.,1,129,Navicula 
Navicula sp. A Uyuni FRITZ,1,3,Navicula 
Navicula spp.,6,608,Navicula 
Navicula spp.,1,115,Navicula 
Navicula suchlandtii,1,1,Navicula 
Navicula supergregaria,1,2,Navicula 
Navicula veneta,2,541,Navicula 
Navicula vulpina,2,410,Navicula 
Naviculadicta spp.,1,2,Naviculadicta 
Naviculadicta submuralis,1,3,Naviculadicta 
Naviculadicta utermoehlii,1,71,Naviculadicta 
Nitzschia aequorea,1,6,Nitzschia 
Nitzschia amphibia,2,42,Nitzschia 
Nitzschia archibaldii,1,1,Nitzschia 
Nitzschia bacillum,1,12,Nitzschia 
Nitzschia brevissima,1,1,Nitzschia 
Nitzschia cf. frustulum,1,464,Nitzschia 
Nitzschia chungara,1,58,Nitzschia 
Nitzschia denticula,3,335,Nitzschia 
Nitzschia dissipata var. media,2,435,Nitzschia 
Nitzschia elegantula,1,1,Nitzschia 
Nitzschia fonticola,1,1,Nitzschia 
Nitzschia fonticola/N. lacuum,1,388,Nitzschia 
Nitzschia frustulum,2,258,Nitzschia 
Nitzschia lacuum,1,2,Nitzschia 
Nitzschia liebethruthii,2,145,Nitzschia 
Nitzschia perminuta,2,397,Nitzschia 
Nitzschia perspicua,1,3,Nitzschia 
Nitzschia rosenstockii,1,3,Nitzschia 
Nitzschia semirobusta,1,15,Nitzschia 
Nitzschia sp. (fonticola? + palea),1,262,Nitzschia 
Nitzschia sp. 1,1,1,Nitzschia 
Nitzschia sp. 1?,1,381,Nitzschia 
Nitzschia sp. 2,1,1,Nitzschia 
Nitzschia spp.,4,535,Nitzschia 
Nitzschia spp.,1,141,Nitzschia 
Nitzschia valdecostata,1,48,Nitzschia 
Paralia sulcata,2,7,Paralia 
Pinnuavis spp.,1,14,Pinnuavis 
Pinnularia borealis,2,35,Pinnularia 
Pinnularia cf. borealis,1,6,Pinnularia 
Pinnularia cf. borealis,1,35,Pinnularia 
Pinnularia maior,1,372,Pinnularia 
Pinnularia spp.,3,51,Pinnularia 
Pinnularia spp.,1,61,Pinnularia 
Pinnularia viridis,1,3,Pinnularia 
Placoneis sp. 1?,1,1,Placoneis 
Placoneis tersa,1,1,Placoneis 
Planothidium cf. delicatulum,1,387,Planothidium 
Planothidium delicatulum,2,91,Planothidium 
Planothidium granum,1,24,Planothidium 
Planothidium lanceolatum,2,121,Planothidium 
Planothidium spp.,3,105,Planothidium 
Planothidium spp.,1,77,Planothidium 
Pseudostaurosira brevistriata,5,779,Pseudostaurosira 
Pseudostaurosira cf. dicipiens,2,3,Pseudostaurosira 
Pseudostaurosira construens var. venter,2,493,Pseudostaurosira 
Pseudostaurosira pseudoconstruens,1,1,Pseudostaurosira 
Pseudostaurosira spp.,2,43,Pseudostaurosira 
Pseudostaurosira zeilleri,4,736,Pseudostaurosira 
Rhoicosphenia abbreviata,1,3,Rhoicosphenia 
Rhopalodia acuminata,1,5,Rhopalodia 
Rhopalodia gibba,2,2,Rhopalodia 
Rhopalodia gibberula,1,2,Rhopalodia 
Rhopalodia spp.,3,30,Rhopalodia 
Rhopalodia spp.,1,34,Rhopalodia 
Sellaphora laevissima,1,393,Sellaphora 
Sellaphora pupula,2,493,Sellaphora 
Sellaphora sp. 1?,1,1,Sellaphora 
Sellaphora spp.,1,2,Sellaphora 
Sellaphora spp.,1,6,Sellaphora 
Stauroneis tackei,1,2,Stauroneis 
Staurosira brevistriata,1,6,Staurosira 
Staurosira cf. construens var. venter,1,140,Staurosira 
Staurosira construens,1,12,Staurosira 
Staurosira construens var. binodis,1,1,Staurosira 
Staurosira construens var. construens,1,4,Staurosira 
Staurosira construens var. subsalina,3,617,Staurosira 
Staurosira construens var. venter,1,262,Staurosira 
Staurosira elliptica,1,11,Staurosira 
Staurosira spp.,1,6,Staurosira 
Staurosirella leptostauron,1,3,Staurosirella 
Staurosirella pinnata,5,820,Staurosirella 
Staurosirella spp.,1,1,Staurosirella 
Stephanodiscus spp.,1,2,Stephanodiscus 
Surirella sp. 1?,1,1,Surirella 
Surirella spp.,2,50,Surirella 
Surirella spp.,1,69,Surirella 
Surirella striatula,1,8,Surirella 
Surirella wetzeli,1,10,Surirella 
Synedra acus,1,1,Synedra 
Synedra spp.,1,1,Synedra 
Synedra tenera,2,660,Synedra 
Synedra ulna,2,100,Synedra 
Synedra ulna,1,92,Synedra 
Tabularia fasciculata,1,7,Tabularia 
Tabularia tabulata,2,96,Tabularia 
Tryblionella acuminata,1,5,Tryblionella 
Tryblionella compressa var. compressa,1,21,Tryblionella 
Tryblionella compressa var. vexans,1,8,Tryblionella 
Tryblionella constricta,1,105,Tryblionella 
Tryblionella constricta & hungarica FRITZ,1,60,Tryblionella 
Tryblionella hungarica,1,5,Tryblionella 
Tryblionella spp.,1,10,Tryblionella 
Tryblionella spp.,1,15,Tryblionella 
Ulnaria ulna,1,1,Ulnaria 
Undetermined Centric,1,60,Unknown 
Undetermined Cymbelloid,1,393,Unknown 
Undetermined diatom,3,704,Unknown 
Undetermined diatom Chrysophyte Statocysts FRITZ,1,71,Unknown 
Undetermined diatom Phytoliths,1,22,Unknown 
Undetermined diatom Songe spicules,1,10,Unknown 
Undetermined diatom unknown resting spores FRITZ,1,38,Unknown 
Unknown diatom (girdle view),1,177,Unknown 
